date,close,prob_shift,label
2020-01-02T00:00:00.000000,324.87,0.031714267548064994,0.0
2020-01-03T00:00:00.000000,322.41,0.03617256335496499,0.0
2020-01-06T00:00:00.000000,323.64,0.1192386752419158,0.0
2020-01-07T00:00:00.000000,322.73,0.8500603250323654,1.0
2020-01-08T00:00:00.000000,324.45,0.9682250327617447,1.0
2020-01-09T00:00:00.000000,326.65,0.9999994784875978,1.0
2020-01-10T00:00:00.000000,325.71,0.9999903889446731,1.0
2020-01-13T00:00:00.000000,327.95,0.9999986690892794,1.0
2020-01-14T00:00:00.000000,327.45,0.9999992095391559,1.0
2020-01-15T00:00:00.000000,328.19,0.9999998845723883,1.0
2020-01-16T00:00:00.000000,330.92,0.999996483021454,1.0
2020-01-17T00:00:00.000000,331.95,0.999999982710415,1.0
2020-01-21T00:00:00.000000,331.3,0.9999996239209046,1.0
2020-01-22T00:00:00.000000,331.34,0.9999990583886476,1.0
2020-01-23T00:00:00.000000,331.72,0.9999999659744692,1.0
2020-01-24T00:00:00.000000,328.77,0.9999967261716044,1.0
2020-01-27T00:00:00.000000,323.5,0.9999753765636219,1.0
2020-01-28T00:00:00.000000,326.89,0.9999998579581524,1.0
2020-01-29T00:00:00.000000,326.62,0.9999999178179063,1.0
2020-01-30T00:00:00.000000,327.68,0.9999995785683775,1.0
2020-01-31T00:00:00.000000,321.73,0.9999999108596229,1.0
2020-02-03T00:00:00.000000,324.12,0.9999999989015602,1.0
2020-02-04T00:00:00.000000,329.06,0.9999999998860061,1.0
2020-02-05T00:00:00.000000,332.86,0.9999999999962823,1.0
2020-02-06T00:00:00.000000,333.98,0.9999999999944029,1.0
2020-02-07T00:00:00.000000,332.2,0.9999999999977733,1.0
2020-02-10T00:00:00.000000,334.68,0.9999999999991256,1.0
2020-02-11T00:00:00.000000,335.26,0.9999999999977682,1.0
2020-02-12T00:00:00.000000,337.42,0.999999999996853,1.0
2020-02-13T00:00:00.000000,337.06,0.999999999998872,1.0
2020-02-14T00:00:00.000000,337.6,0.9999999999995779,1.0
2020-02-18T00:00:00.000000,336.73,0.999999999997879,1.0
2020-02-19T00:00:00.000000,338.34,0.9999999999949003,1.0
2020-02-20T00:00:00.000000,336.95,0.9999999999877514,1.0
2020-02-21T00:00:00.000000,333.48,0.9999999999934734,1.0
2020-02-24T00:00:00.000000,322.42,0.9999999813848347,1.0
2020-02-25T00:00:00.000000,312.65,0.9638095167988655,1.0
2020-02-26T00:00:00.000000,311.5,0.00011420292667373337,0.0
2020-02-27T00:00:00.000000,297.51,0.009477615879646477,0.0
2020-02-28T00:00:00.000000,296.26,0.0007376321118791127,0.0
2020-03-02T00:00:00.000000,309.09,0.00030254396752745275,0.0
2020-03-03T00:00:00.000000,300.24,4.702349196559551e-05,0.0
2020-03-04T00:00:00.000000,312.86,0.005870879558508699,0.0
