date,value,cash,shares,position_pct,regime,danger,drawdown,price
2020-01-02,100000.00,264.91,307,0.9974,10,1,0.00,324.87
2020-01-03,99244.78,264.91,307,0.9973,10,1,-0.76,322.41
2020-01-06,99622.39,264.91,307,0.9973,10,1,-0.38,323.64
2020-01-07,99343.02,264.91,307,0.9973,9.47,1,-0.66,322.73
2020-01-08,99871.06,264.91,307,0.9973,10,1,-0.13,324.45
2020-01-09,100546.46,264.91,307,0.9974,10,1,0.00,326.65
2020-01-10,100257.88,264.91,307,0.9974,10,1,-0.29,325.71
2020-01-13,100945.56,264.91,307,0.9974,10,1,0.00,327.95
2020-01-14,100792.06,264.91,307,0.9974,10,1,-0.15,327.45
2020-01-15,101019.24,264.91,307,0.9974,10,1,0.00,328.19
2020-01-16,101857.35,264.91,307,0.9974,10,0,0.00,330.92
2020-01-17,102173.56,264.91,307,0.9974,10,0,0.00,331.95
2020-01-21,101974.01,264.91,307,0.9974,10,1,-0.20,331.30
2020-01-22,101986.29,264.91,307,0.9974,10,1,-0.18,331.34
2020-01-23,102102.95,264.91,307,0.9974,10,1,-0.07,331.72
2020-01-24,101197.30,264.91,307,0.9974,10,1,-0.96,328.77
2020-01-27,99579.41,264.91,307,0.9973,8.72,1,-2.54,323.50
2020-01-28,100620.14,264.91,307,0.9974,9.79,1,-1.52,326.89
2020-01-29,100537.25,264.91,307,0.9974,9.79,1,-1.60,326.62
2020-01-30,100862.67,264.91,307,0.9974,9.79,1,-1.28,327.68
2020-01-31,99036.02,264.91,307,0.9973,7.66,1,-3.07,321.73
2020-02-03,99769.75,264.91,307,0.9973,8.72,1,-2.35,324.12
2020-02-04,101286.33,264.91,307,0.9974,9.79,1,-0.87,329.06
2020-02-05,102452.93,264.91,307,0.9974,9.79,1,0.00,332.86
2020-02-06,102796.77,264.91,307,0.9974,10,1,0.00,333.98
2020-02-07,102250.31,264.91,307,0.9974,9.79,1,-0.53,332.20
2020-02-10,103011.67,264.91,307,0.9974,9.79,1,0.00,334.68
2020-02-11,103189.73,264.91,307,0.9974,9.79,1,0.00,335.26
2020-02-12,103852.85,264.91,307,0.9974,10,0,0.00,337.42
2020-02-13,103742.33,264.91,307,0.9974,10,1,-0.11,337.06
2020-02-14,103908.11,264.91,307,0.9975,10,1,0.00,337.60
2020-02-18,103641.02,264.91,307,0.9974,10,1,-0.26,336.73
2020-02-19,104135.29,264.91,307,0.9975,10,1,0.00,338.34
2020-02-20,103708.56,264.91,307,0.9974,9.79,1,-0.41,336.95
2020-02-21,102643.27,264.91,307,0.9974,9.26,1,-1.43,333.48
2020-02-24,99247.85,264.91,307,0.9973,6.6,2,-4.69,322.42
2020-02-25,96248.46,264.91,307,0.9972,7.13,3,-7.57,312.65
2020-02-26,95895.41,264.91,307,0.9972,6.6,3,-7.91,311.50
2020-02-27,91600.48,264.91,307,0.9971,6.28,4,-12.04,297.51
2020-02-28,91216.73,264.91,307,0.9971,6.81,4,-12.41,296.26
2020-03-02,95155.54,264.91,307,0.9972,7.34,1,-8.62,309.09
2020-03-03,92438.59,264.91,307,0.9971,6.28,2,-11.23,300.24
2020-03-04,96312.93,264.91,307,0.9972,7.34,1,-7.51,312.86
2020-03-05,93120.13,264.91,307,0.9972,6.28,2,-10.58,302.46
2020-03-06,91585.13,264.91,307,0.9971,6.28,3,-12.05,297.46
2020-03-09,84453.52,84453.52,0,0.0000,5.96,3,-18.90,274.23
2020-03-10,84453.52,234.88,292,0.9972,7.02,2,-18.90,288.42
2020-03-11,80113.12,80113.12,0,0.0000,5.96,3,-23.07,274.36
2020-03-12,80113.12,80113.12,0,0.0000,5.96,3,-23.07,248.11
2020-03-13,80113.12,80113.12,0,0.0000,5.74,2,-23.07,269.32
2020-03-16,80113.12,80113.12,0,0.0000,5.74,3,-23.07,239.85
2020-03-17,80113.12,80113.12,0,0.0000,5.74,2,-23.07,252.80
2020-03-18,80113.12,80113.12,0,0.0000,5.74,2,-23.07,240.00
2020-03-19,80113.12,80113.12,0,0.0000,5.74,2,-23.07,240.51
2020-03-20,80113.12,80113.12,0,0.0000,5.74,2,-23.07,228.80
2020-03-23,80113.12,80113.12,0,0.0000,5.74,2,-23.07,222.95
2020-03-24,80113.12,80113.12,0,0.0000,4.47,2,-23.07,243.15
2020-03-25,80113.12,80113.12,0,0.0000,5.53,2,-23.07,246.79
2020-03-26,80113.12,80113.12,0,0.0000,5.53,1,-23.07,261.20
2020-03-27,80113.12,80113.12,0,0.0000,5.32,1,-23.07,253.42
2020-03-30,80113.12,48.22,306,0.9994,6.06,1,-23.07,261.65
2020-03-31,78871.50,78871.50,0,0.0000,5.85,1,-24.26,257.75
2020-04-01,78871.50,103.50,320,0.9987,6.91,2,-24.26,246.15
2020-04-02,80689.10,103.50,320,0.9987,7.13,1,-22.52,251.83
2020-04-03,79524.30,103.50,320,0.9987,7.13,1,-23.63,248.19
2020-04-06,84858.70,103.50,320,0.9988,8.4,1,-18.51,264.86
2020-04-07,84945.10,103.50,320,0.9988,8.62,1,-18.43,265.13
2020-04-08,87793.10,103.50,320,0.9988,8.62,0,-15.69,274.03
2020-04-09,89127.50,103.50,320,0.9988,8.62,0,-14.41,278.20
2020-04-13,88314.70,103.50,320,0.9988,8.62,1,-15.19,275.66
2020-04-14,90916.30,103.50,320,0.9989,8.62,0,-12.69,283.79
2020-04-15,88986.70,103.50,320,0.9988,8.62,1,-14.55,277.76
2020-04-16,89415.50,103.50,320,0.9988,8.62,1,-14.14,279.10
2020-04-17,91828.30,103.50,320,0.9989,8.62,1,-11.82,286.64
2020-04-20,90212.30,103.50,320,0.9989,8.62,2,-13.37,281.59
2020-04-21,87476.30,103.50,320,0.9988,8.62,2,-16.00,273.04
2020-04-22,89415.50,103.50,320,0.9988,8.94,0,-14.14,279.10
2020-04-23,89409.10,103.50,320,0.9988,8.94,0,-14.14,279.08
2020-04-24,90653.90,103.50,320,0.9989,8.94,0,-12.95,282.97
2020-04-27,91959.50,103.50,320,0.9989,8.94,1,-11.69,287.05
2020-04-28,91537.10,103.50,320,0.9989,8.94,1,-12.10,285.73
2020-04-29,93930.70,103.50,320,0.9989,8.94,2,-9.80,293.21
2020-04-30,93057.10,103.50,320,0.9989,8.94,1,-10.64,290.48
2020-05-01,90596.30,103.50,320,0.9989,8.94,2,-13.00,282.79
2020-05-04,90845.90,103.50,320,0.9989,7.98,2,-12.76,283.57
2020-05-05,91684.30,103.50,320,0.9989,8.19,0,-11.96,286.19
2020-05-06,91063.50,103.50,320,0.9989,8.19,1,-12.55,284.25
2020-05-07,92161.10,103.50,320,0.9989,7.98,0,-11.50,287.68
2020-05-08,93684.30,103.50,320,0.9989,8.3,1,-10.04,292.44
2020-05-11,93703.50,103.50,320,0.9989,8.72,1,-10.02,292.50
2020-05-12,91837.90,103.50,320,0.9989,8.4,1,-11.81,286.67
2020-05-13,90215.50,103.50,320,0.9989,7.13,2,-13.37,281.60
2020-05-14,91293.90,103.50,320,0.9989,8.19,1,-12.33,284.97
2020-05-15,91713.10,103.50,320,0.9989,8.4,1,-11.93,286.28
2020-05-18,94503.50,103.50,320,0.9989,8.51,0,-9.25,295.00
2020-05-19,93533.90,103.50,320,0.9989,8.19,0,-10.18,291.97
2020-05-20,95121.10,103.50,320,0.9989,8.51,0,-8.66,296.93
2020-05-21,94465.10,103.50,320,0.9989,8.51,0,-9.29,294.88
2020-05-22,94644.30,103.50,320,0.9989,8.51,0,-9.11,295.44
2020-05-26,95809.10,103.50,320,0.9989,8.51,0,-8.00,299.08
2020-05-27,97233.10,103.50,320,0.9989,8.51,0,-6.63,303.53
2020-05-28,97053.90,103.50,320,0.9989,8.72,1,-6.80,302.97
2020-05-29,97485.90,103.50,320,0.9989,8.51,0,-6.39,304.32
2020-06-01,97879.50,103.50,320,0.9989,9.26,1,-6.01,305.55
2020-06-02,98689.10,103.50,320,0.9990,9.26,0,-5.23,308.08
2020-06-03,100001.10,103.50,320,0.9990,8.72,0,-3.97,312.18
2020-06-04,99738.70,103.50,320,0.9990,9.26,0,-4.22,311.36
2020-06-05,102292.30,103.50,320,0.9990,9.47,1,-1.77,319.34
2020-06-08,103527.50,103.50,320,0.9990,9.26,0,-0.58,323.20
2020-06-09,102756.30,103.50,320,0.9990,9.26,1,-1.32,320.79
2020-06-10,102183.50,103.50,320,0.9990,9.26,1,-1.87,319.00
2020-06-11,96298.70,103.50,320,0.9989,7.87,2,-7.53,300.61
2020-06-12,97450.70,103.50,320,0.9989,8.94,1,-6.42,304.21
2020-06-15,98359.50,103.50,320,0.9989,8.94,1,-5.55,307.05
2020-06-16,100250.70,103.50,320,0.9990,8.94,0,-3.73,312.96
2020-06-17,99834.70,103.50,320,0.9990,8.94,1,-4.13,311.66
2020-06-18,99873.10,103.50,320,0.9990,8.94,1,-4.09,311.78
2020-06-19,98868.30,103.50,320,0.9990,8.94,1,-5.06,308.64
2020-06-22,99501.90,103.50,320,0.9990,8.94,1,-4.45,310.62
2020-06-23,99959.50,103.50,320,0.9990,8.94,1,-4.01,312.05
2020-06-24,97412.30,103.50,320,0.9989,7.87,2,-6.46,304.09
2020-06-25,98455.50,103.50,320,0.9989,7.87,1,-5.45,307.35
2020-06-26,96119.50,103.50,320,0.9989,6.81,1,-7.70,300.05
2020-06-29,97530.70,103.50,320,0.9989,7.87,1,-6.34,304.46
2020-06-30,98778.70,103.50,320,0.9990,7.87,1,-5.14,308.36
2020-07-01,99469.90,103.50,320,0.9990,9.26,1,-4.48,310.52
2020-07-02,100017.10,103.50,320,0.9990,9.26,1,-3.95,312.23
2020-07-06,101559.50,103.50,320,0.9990,9.26,0,-2.47,317.05
2020-07-07,100513.10,103.50,320,0.9990,9.26,1,-3.48,313.78
2020-07-08,101281.10,103.50,320,0.9990,9.26,0,-2.74,316.18
2020-07-09,100705.10,103.50,320,0.9990,9.26,2,-3.29,314.38
2020-07-10,101732.30,103.50,320,0.9990,9.26,0,-2.31,317.59
2020-07-13,100852.30,103.50,320,0.9990,8.94,2,-3.15,314.84
2020-07-14,102157.90,103.50,320,0.9990,9.26,0,-1.90,318.92
2020-07-15,103095.50,103.50,320,0.9990,9.26,0,-1.00,321.85
2020-07-16,102756.30,103.50,320,0.9990,9.26,0,-1.32,320.79
2020-07-17,103053.90,103.50,320,0.9990,9.26,0,-1.04,321.72
2020-07-20,103885.90,103.50,320,0.9990,9.47,0,-0.24,324.32
2020-07-21,104106.70,103.50,320,0.9990,9.47,0,-0.03,325.01
2020-07-22,104698.70,103.50,320,0.9990,9.47,0,0.00,326.86
2020-07-23,103450.70,103.50,320,0.9990,9.26,1,-1.19,322.96
2020-07-24,102785.10,103.50,320,0.9990,9.26,2,-1.83,320.88
2020-07-27,103533.90,103.50,320,0.9990,9.47,1,-1.11,323.22
2020-07-28,102877.90,103.50,320,0.9990,9.26,2,-1.74,321.17
2020-07-29,104141.90,103.50,320,0.9990,9.47,1,-0.53,325.12
2020-07-30,103770.70,103.50,320,0.9990,9.47,1,-0.89,323.96
2020-07-31,104589.90,103.50,320,0.9990,9.47,1,-0.10,326.52
2020-08-03,105316.30,103.50,320,0.9990,9.47,0,0.00,328.79
2020-08-04,105722.70,103.50,320,0.9990,9.47,0,0.00,330.06
2020-08-05,106378.70,103.50,320,0.9990,9.47,0,0.00,332.11
2020-08-06,107089.10,103.50,320,0.9990,9.47,0,0.00,334.33
2020-08-07,107165.90,103.50,320,0.9990,9.47,0,0.00,334.57
2020-08-10,107485.90,103.50,320,0.9990,9.47,0,0.00,335.57
2020-08-11,106599.50,103.50,320,0.9990,9.47,1,-0.82,332.80
2020-08-12,108084.30,103.50,320,0.9990,9.47,0,0.00,337.44
2020-08-13,107889.10,103.50,320,0.9990,9.47,0,-0.18,336.83
2020-08-14,107892.30,103.50,320,0.9990,9.47,0,-0.18,336.84
2020-08-17,108234.70,103.50,320,0.9990,9.47,0,0.00,337.91
2020-08-18,108468.30,103.50,320,0.9990,8.94,0,0.00,338.64
2020-08-19,108017.10,103.50,320,0.9990,8.94,1,-0.42,337.23
2020-08-20,108353.10,103.50,320,0.9990,8.94,1,-0.11,338.28
2020-08-21,108737.10,103.50,320,0.9990,9.47,1,0.00,339.48
2020-08-24,109837.90,103.50,320,0.9991,9.47,0,0.00,342.92
2020-08-25,110221.90,103.50,320,0.9991,9.47,0,0.00,344.12
2020-08-26,111325.90,103.50,320,0.9991,9.47,0,0.00,347.57
2020-08-27,111569.10,103.50,320,0.9991,9.47,0,0.00,348.33
2020-08-28,112289.10,103.50,320,0.9991,9.47,0,0.00,350.58
2020-08-31,111882.70,103.50,320,0.9991,9.26,1,-0.36,349.31
2020-09-01,112935.50,103.50,320,0.9991,9.26,1,0.00,352.60
2020-09-02,114567.50,103.50,320,0.9991,9.26,1,0.00,357.70
2020-09-03,110628.30,103.50,320,0.9991,8.94,2,-3.44,345.39
2020-09-04,109725.90,103.50,320,0.9991,7.87,2,-4.23,342.57
2020-09-08,106730.70,103.50,320,0.9990,6.81,2,-6.84,333.21
2020-09-09,108836.30,103.50,320,0.9990,8.19,2,-5.00,339.79
2020-09-10,106948.30,103.50,320,0.9990,7.13,2,-6.65,333.89
2020-09-11,107002.70,103.50,320,0.9990,7.13,2,-6.60,334.06
2020-09-14,108410.70,103.50,320,0.9990,8.19,2,-5.37,338.46
2020-09-15,108957.90,103.50,320,0.9991,8.19,2,-4.90,340.17
2020-09-16,108525.90,103.50,320,0.9990,8.19,2,-5.27,338.82
2020-09-17,107572.30,103.50,320,0.9990,8.19,2,-6.11,335.84
2020-09-18,105911.50,103.50,320,0.9990,6.6,2,-7.56,330.65
2020-09-21,104733.90,103.50,320,0.9990,6.6,3,-8.58,326.97
2020-09-22,105799.50,103.50,320,0.9990,7.66,2,-7.65,330.30
2020-09-23,103348.30,103.50,320,0.9990,7.13,2,-9.79,322.64
2020-09-24,103623.50,103.50,320,0.9990,6.6,2,-9.55,323.50
2020-09-25,105297.10,103.50,320,0.9990,7.66,1,-8.09,328.73
2020-09-28,107044.30,103.50,320,0.9990,7.66,1,-6.57,334.19
2020-09-29,106461.90,103.50,320,0.9990,7.66,1,-7.07,332.37
2020-09-30,107268.30,103.50,320,0.9990,7.66,1,-6.37,334.89
2020-10-01,107956.30,103.50,320,0.9990,8.72,1,-5.77,337.04
2020-10-02,106932.30,103.50,320,0.9990,8.72,2,-6.66,333.84
2020-10-05,108826.70,103.50,320,0.9990,7.45,2,-5.01,339.76
2020-10-06,107281.10,103.50,320,0.9990,7.45,2,-6.36,334.93
2020-10-07,109146.70,103.50,320,0.9991,7.45,2,-4.73,340.76
2020-10-08,110113.10,103.50,320,0.9991,7.45,0,-3.89,343.78
2020-10-09,111095.50,103.50,320,0.9991,7.45,0,-3.03,346.85
2020-10-12,112881.10,103.50,320,0.9991,7.45,0,-1.47,352.43
2020-10-13,112145.10,103.50,320,0.9991,7.45,0,-2.11,350.13
2020-10-14,111441.10,103.50,320,0.9991,7.45,0,-2.73,347.93
2020-10-15,111303.50,103.50,320,0.9991,7.98,2,-2.85,347.50
2020-10-16,111236.30,103.50,320,0.9991,7.98,2,-2.91,347.29
2020-10-19,109546.70,103.50,320,0.9991,9.26,2,-4.38,342.01
2020-10-20,109985.10,103.50,320,0.9991,9.26,2,-4.00,343.38
2020-10-21,109777.10,103.50,320,0.9991,9.26,2,-4.18,342.73
2020-10-22,110378.70,103.50,320,0.9991,9.26,2,-3.66,344.61
2020-10-23,110753.10,103.50,320,0.9991,9.26,1,-3.33,345.78
2020-10-26,108708.30,103.50,320,0.9990,7.87,2,-5.11,339.39
2020-10-27,108333.90,103.50,320,0.9990,7.87,2,-5.44,338.22
2020-10-28,104634.70,103.50,320,0.9990,6.81,2,-8.67,326.66
2020-10-29,105697.10,103.50,320,0.9990,7.87,1,-7.74,329.98
2020-10-30,104596.30,103.50,320,0.9990,6.81,1,-8.70,326.54
2020-11-02,105767.50,103.50,320,0.9990,7.87,1,-7.68,330.20
