date,value,cash,shares,position_pct,regime,danger,drawdown,price
2020-01-02,100000.00,264.91,307,0.9974,10,1,0.00,324.87
2020-01-03,99244.78,264.91,307,0.9973,10,1,-0.76,322.41
2020-01-06,99622.39,264.91,307,0.9973,10,1,-0.38,323.64
2020-01-07,99343.02,264.91,307,0.9973,9.47,1,-0.66,322.73
2020-01-08,99871.06,264.91,307,0.9973,10,1,-0.13,324.45
2020-01-09,100546.46,264.91,307,0.9974,10,1,0.00,326.65
2020-01-10,100257.88,264.91,307,0.9974,10,1,-0.29,325.71
2020-01-13,100945.56,264.91,307,0.9974,10,1,0.00,327.95
2020-01-14,100792.06,264.91,307,0.9974,10,1,-0.15,327.45
2020-01-15,101019.24,264.91,307,0.9974,10,1,0.00,328.19
2020-01-16,101857.35,264.91,307,0.9974,10,0,0.00,330.92
2020-01-17,102173.56,264.91,307,0.9974,10,0,0.00,331.95
2020-01-21,101974.01,264.91,307,0.9974,10,1,-0.20,331.30
2020-01-22,101986.29,264.91,307,0.9974,10,1,-0.18,331.34
2020-01-23,102102.95,264.91,307,0.9974,10,1,-0.07,331.72
2020-01-24,101197.30,264.91,307,0.9974,10,1,-0.96,328.77
2020-01-27,99579.41,264.91,307,0.9973,8.72,1,-2.54,323.50
2020-01-28,100620.14,264.91,307,0.9974,9.79,1,-1.52,326.89
2020-01-29,100537.25,264.91,307,0.9974,9.79,1,-1.60,326.62
2020-01-30,100862.67,264.91,307,0.9974,9.79,1,-1.28,327.68
2020-01-31,99036.02,264.91,307,0.9973,7.66,1,-3.07,321.73
2020-02-03,99769.75,264.91,307,0.9973,8.72,1,-2.35,324.12
2020-02-04,101286.33,264.91,307,0.9974,9.79,1,-0.87,329.06
2020-02-05,102452.93,264.91,307,0.9974,9.79,1,0.00,332.86
2020-02-06,102796.77,264.91,307,0.9974,10,1,0.00,333.98
2020-02-07,102250.31,264.91,307,0.9974,9.79,1,-0.53,332.20
2020-02-10,103011.67,264.91,307,0.9974,9.79,1,0.00,334.68
2020-02-11,103189.73,264.91,307,0.9974,9.79,1,0.00,335.26
2020-02-12,103852.85,264.91,307,0.9974,10,0,0.00,337.42
2020-02-13,103742.33,264.91,307,0.9974,10,1,-0.11,337.06
2020-02-14,103908.11,264.91,307,0.9975,10,1,0.00,337.60
2020-02-18,103641.02,264.91,307,0.9974,10,1,-0.26,336.73
2020-02-19,104135.29,264.91,307,0.9975,10,1,0.00,338.34
2020-02-20,103708.56,264.91,307,0.9974,9.79,1,-0.41,336.95
2020-02-21,102643.27,264.91,307,0.9974,9.26,1,-1.43,333.48
2020-02-24,99247.85,264.91,307,0.9973,6.6,2,-4.69,322.42
2020-02-25,96248.46,264.91,307,0.9972,7.13,3,-7.57,312.65
2020-02-26,95895.41,264.91,307,0.9972,6.6,3,-7.91,311.50
2020-02-27,91600.48,264.91,307,0.9971,6.28,4,-12.04,297.51
2020-02-28,91216.73,264.91,307,0.9971,6.81,4,-12.41,296.26
2020-03-02,95155.54,264.91,307,0.9972,7.34,1,-8.62,309.09
2020-03-03,92438.59,264.91,307,0.9971,6.28,2,-11.23,300.24
2020-03-04,96312.93,264.91,307,0.9972,7.34,1,-7.51,312.86
2020-03-05,93120.13,264.91,307,0.9972,6.28,2,-10.58,302.46
2020-03-06,91585.13,264.91,307,0.9971,6.28,3,-12.05,297.46
2020-03-09,84453.52,264.91,307,0.9969,5.96,3,-18.90,274.23
2020-03-10,88809.85,264.91,307,0.9970,7.02,2,-14.72,288.42
2020-03-11,84493.43,264.91,307,0.9969,5.96,3,-18.86,274.36
2020-03-12,76434.68,264.91,307,0.9965,5.96,3,-26.60,248.11
2020-03-13,82946.15,264.91,307,0.9968,5.74,2,-20.35,269.32
2020-03-16,73898.86,264.91,307,0.9964,5.74,3,-29.04,239.85
2020-03-17,77874.51,264.91,307,0.9966,5.74,2,-25.22,252.80
2020-03-18,73944.91,264.91,307,0.9964,5.74,2,-28.99,240.00
2020-03-19,74101.48,264.91,307,0.9964,5.74,2,-28.84,240.51
2020-03-20,70506.51,264.91,307,0.9962,5.74,2,-32.29,228.80
2020-03-23,68710.56,264.91,307,0.9961,5.74,2,-34.02,222.95
2020-03-24,74911.96,264.91,307,0.9965,4.47,2,-28.06,243.15
2020-03-25,76029.44,264.91,307,0.9965,5.53,2,-26.99,246.79
2020-03-26,80453.31,264.91,307,0.9967,5.53,1,-22.74,261.20
2020-03-27,78064.85,264.91,307,0.9966,5.32,1,-25.04,253.42
2020-03-30,80591.46,264.91,307,0.9967,6.06,1,-22.61,261.65
2020-03-31,79394.16,264.91,307,0.9967,5.85,1,-23.76,257.75
2020-04-01,75832.96,264.91,307,0.9965,6.91,2,-27.18,246.15
2020-04-02,77576.72,264.91,307,0.9966,7.13,1,-25.50,251.83
2020-04-03,76459.24,264.91,307,0.9965,7.13,1,-26.58,248.19
2020-04-06,81576.93,264.91,307,0.9968,8.4,1,-21.66,264.86
2020-04-07,81659.82,264.91,307,0.9968,8.62,1,-21.58,265.13
2020-04-08,84392.12,264.91,307,0.9969,8.62,0,-18.96,274.03
2020-04-09,85672.31,264.91,307,0.9969,8.62,0,-17.73,278.20
2020-04-13,84892.53,264.91,307,0.9969,8.62,1,-18.48,275.66
2020-04-14,87388.44,264.91,307,0.9970,8.62,0,-16.08,283.79
2020-04-15,85537.23,264.91,307,0.9969,8.62,1,-17.86,277.76
2020-04-16,85948.61,264.91,307,0.9969,8.62,1,-17.46,279.10
2020-04-17,88263.39,264.91,307,0.9970,8.62,1,-15.24,286.64
2020-04-20,86713.04,264.91,307,0.9969,8.62,2,-16.73,281.59
2020-04-21,84088.19,264.91,307,0.9968,8.62,2,-19.25,273.04
2020-04-22,85948.61,264.91,307,0.9969,8.94,0,-17.46,279.10
2020-04-23,85942.47,264.91,307,0.9969,8.94,0,-17.47,279.08
2020-04-24,87136.70,264.91,307,0.9970,8.94,0,-16.32,282.97
2020-04-27,88389.26,264.91,307,0.9970,8.94,1,-15.12,287.05
2020-04-28,87984.02,264.91,307,0.9970,8.94,1,-15.51,285.73
2020-04-29,90280.38,264.91,307,0.9971,8.94,2,-13.30,293.21
2020-04-30,89442.27,264.91,307,0.9970,8.94,1,-14.11,290.48
2020-05-01,87081.44,264.91,307,0.9970,8.94,2,-16.38,282.79
2020-05-04,87320.90,264.91,307,0.9970,7.98,2,-16.15,283.57
2020-05-05,88125.24,264.91,307,0.9970,8.19,0,-15.37,286.19
2020-05-06,87529.66,264.91,307,0.9970,8.19,1,-15.95,284.25
2020-05-07,88582.67,264.91,307,0.9970,7.98,0,-14.94,287.68
2020-05-08,90043.99,264.91,307,0.9971,8.3,1,-13.53,292.44
2020-05-11,90062.41,264.91,307,0.9971,8.72,1,-13.51,292.50
2020-05-12,88272.60,264.91,307,0.9970,8.4,1,-15.23,286.67
2020-05-13,86716.11,264.91,307,0.9969,7.13,2,-16.73,281.60
2020-05-14,87750.70,264.91,307,0.9970,8.19,1,-15.73,284.97
2020-05-15,88152.87,264.91,307,0.9970,8.4,1,-15.35,286.28
2020-05-18,90829.91,264.91,307,0.9971,8.51,0,-12.78,295.00
2020-05-19,89899.70,264.91,307,0.9971,8.19,0,-13.67,291.97
2020-05-20,91422.42,264.91,307,0.9971,8.51,0,-12.21,296.93
2020-05-21,90793.07,264.91,307,0.9971,8.51,0,-12.81,294.88
2020-05-22,90964.99,264.91,307,0.9971,8.51,0,-12.65,295.44
2020-05-26,92082.47,264.91,307,0.9971,8.51,0,-11.57,299.08
2020-05-27,93448.62,264.91,307,0.9972,8.51,0,-10.26,303.53
2020-05-28,93276.70,264.91,307,0.9972,8.72,1,-10.43,302.97
2020-05-29,93691.15,264.91,307,0.9972,8.51,0,-10.03,304.32
2020-06-01,94068.76,264.91,307,0.9972,9.26,1,-9.67,305.55
2020-06-02,94845.47,264.91,307,0.9972,9.26,0,-8.92,308.08
2020-06-03,96104.17,264.91,307,0.9972,8.72,0,-7.71,312.18
2020-06-04,95852.43,264.91,307,0.9972,9.26,0,-7.95,311.36
2020-06-05,98302.29,264.91,307,0.9973,9.47,1,-5.60,319.34
2020-06-08,99487.31,264.91,307,0.9973,9.26,0,-4.46,323.20
2020-06-09,98747.44,264.91,307,0.9973,9.26,1,-5.17,320.79
2020-06-10,98197.91,264.91,307,0.9973,9.26,1,-5.70,319.00
2020-06-11,92552.18,264.91,307,0.9971,7.87,2,-11.12,300.61
2020-06-12,93657.38,264.91,307,0.9972,8.94,1,-10.06,304.21
2020-06-15,94529.26,264.91,307,0.9972,8.94,1,-9.22,307.05
2020-06-16,96343.63,264.91,307,0.9973,8.94,0,-7.48,312.96
2020-06-17,95944.53,264.91,307,0.9972,8.94,1,-7.87,311.66
2020-06-18,95981.37,264.91,307,0.9972,8.94,1,-7.83,311.78
2020-06-19,95017.39,264.91,307,0.9972,8.94,1,-8.76,308.64
2020-06-22,95625.25,264.91,307,0.9972,8.94,1,-8.17,310.62
2020-06-23,96064.26,264.91,307,0.9972,8.94,1,-7.75,312.05
2020-06-24,93620.54,264.91,307,0.9972,7.87,2,-10.10,304.09
2020-06-25,94621.36,264.91,307,0.9972,7.87,1,-9.14,307.35
2020-06-26,92380.26,264.91,307,0.9971,6.81,1,-11.29,300.05
2020-06-29,93734.13,264.91,307,0.9972,7.87,1,-9.99,304.46
2020-06-30,94931.43,264.91,307,0.9972,7.87,1,-8.84,308.36
2020-07-01,95594.55,264.91,307,0.9972,9.26,1,-8.20,310.52
2020-07-02,96119.52,264.91,307,0.9972,9.26,1,-7.70,312.23
2020-07-06,97599.26,264.91,307,0.9973,9.26,0,-6.28,317.05
2020-07-07,96595.37,264.91,307,0.9973,9.26,1,-7.24,313.78
2020-07-08,97332.17,264.91,307,0.9973,9.26,0,-6.53,316.18
2020-07-09,96779.57,264.91,307,0.9973,9.26,2,-7.06,314.38
2020-07-10,97765.04,264.91,307,0.9973,9.26,0,-6.12,317.59
2020-07-13,96920.79,264.91,307,0.9973,8.94,2,-6.93,314.84
2020-07-14,98173.35,264.91,307,0.9973,9.26,0,-5.73,318.92
2020-07-15,99072.86,264.91,307,0.9973,9.26,0,-4.86,321.85
2020-07-16,98747.44,264.91,307,0.9973,9.26,0,-5.17,320.79
2020-07-17,99032.95,264.91,307,0.9973,9.26,0,-4.90,321.72
2020-07-20,99831.15,264.91,307,0.9973,9.47,0,-4.13,324.32
2020-07-21,100042.98,264.91,307,0.9974,9.47,0,-3.93,325.01
2020-07-22,100610.93,264.91,307,0.9974,9.47,0,-3.38,326.86
2020-07-23,99413.63,264.91,307,0.9973,9.26,1,-4.53,322.96
2020-07-24,98775.07,264.91,307,0.9973,9.26,2,-5.15,320.88
2020-07-27,99493.45,264.91,307,0.9973,9.47,1,-4.46,323.22
2020-07-28,98864.10,264.91,307,0.9973,9.26,2,-5.06,321.17
2020-07-29,100076.75,264.91,307,0.9974,9.47,1,-3.90,325.12
2020-07-30,99720.63,264.91,307,0.9973,9.47,1,-4.24,323.96
2020-07-31,100506.55,264.91,307,0.9974,9.47,1,-3.48,326.52
2020-08-03,101203.44,264.91,307,0.9974,9.47,0,-2.82,328.79
2020-08-04,101593.33,264.91,307,0.9974,9.47,0,-2.44,330.06
2020-08-05,102222.68,264.91,307,0.9974,9.47,0,-1.84,332.11
2020-08-06,102904.22,264.91,307,0.9974,9.47,0,-1.18,334.33
2020-08-07,102977.90,264.91,307,0.9974,9.47,0,-1.11,334.57
2020-08-10,103284.90,264.91,307,0.9974,9.47,0,-0.82,335.57
2020-08-11,102434.51,264.91,307,0.9974,9.47,1,-1.63,332.80
2020-08-12,103858.99,264.91,307,0.9974,9.47,0,-0.27,337.44
2020-08-13,103671.72,264.91,307,0.9974,9.47,0,-0.45,336.83
2020-08-14,103674.79,264.91,307,0.9974,9.47,0,-0.44,336.84
2020-08-17,104003.28,264.91,307,0.9975,9.47,0,-0.13,337.91
2020-08-18,104227.39,264.91,307,0.9975,8.94,0,0.00,338.64
2020-08-19,103794.52,264.91,307,0.9974,8.94,1,-0.42,337.23
2020-08-20,104116.87,264.91,307,0.9975,8.94,1,-0.11,338.28
2020-08-21,104485.27,264.91,307,0.9975,9.47,1,0.00,339.48
2020-08-24,105541.35,264.91,307,0.9975,9.47,0,0.00,342.92
2020-08-25,105909.75,264.91,307,0.9975,9.47,0,0.00,344.12
2020-08-26,106968.90,264.91,307,0.9975,9.47,0,0.00,347.57
2020-08-27,107202.22,264.91,307,0.9975,9.47,0,0.00,348.33
2020-08-28,107892.97,264.91,307,0.9975,9.47,0,0.00,350.58
2020-08-31,107503.08,264.91,307,0.9975,9.26,1,-0.36,349.31
2020-09-01,108513.11,264.91,307,0.9976,9.26,1,0.00,352.60
2020-09-02,110078.81,264.91,307,0.9976,9.26,1,0.00,357.70
2020-09-03,106299.64,264.91,307,0.9975,8.94,2,-3.43,345.39
2020-09-04,105433.90,264.91,307,0.9975,7.87,2,-4.22,342.57
2020-09-08,102560.38,264.91,307,0.9974,6.81,2,-6.83,333.21
2020-09-09,104580.44,264.91,307,0.9975,8.19,2,-4.99,339.79
2020-09-10,102769.14,264.91,307,0.9974,7.13,2,-6.64,333.89
2020-09-11,102821.33,264.91,307,0.9974,7.13,2,-6.59,334.06
2020-09-14,104172.13,264.91,307,0.9975,8.19,2,-5.37,338.46
2020-09-15,104697.10,264.91,307,0.9975,8.19,2,-4.89,340.17
2020-09-16,104282.65,264.91,307,0.9975,8.19,2,-5.27,338.82
2020-09-17,103367.79,264.91,307,0.9974,8.19,2,-6.10,335.84
2020-09-18,101774.46,264.91,307,0.9974,6.6,2,-7.54,330.65
2020-09-21,100644.70,264.91,307,0.9974,6.6,3,-8.57,326.97
2020-09-22,101667.01,264.91,307,0.9974,7.66,2,-7.64,330.30
2020-09-23,99315.39,264.91,307,0.9973,7.13,2,-9.78,322.64
2020-09-24,99579.41,264.91,307,0.9973,6.6,2,-9.54,323.50
2020-09-25,101185.02,264.91,307,0.9974,7.66,1,-8.08,328.73
2020-09-28,102861.24,264.91,307,0.9974,7.66,1,-6.56,334.19
2020-09-29,102302.50,264.91,307,0.9974,7.66,1,-7.06,332.37
2020-09-30,103076.14,264.91,307,0.9974,7.66,1,-6.36,334.89
2020-10-01,103736.19,264.91,307,0.9974,8.72,1,-5.76,337.04
2020-10-02,102753.79,264.91,307,0.9974,8.72,2,-6.65,333.84
2020-10-05,104571.23,264.91,307,0.9975,7.45,2,-5.00,339.76
2020-10-06,103088.42,264.91,307,0.9974,7.45,2,-6.35,334.93
2020-10-07,104878.23,264.91,307,0.9975,7.45,2,-4.72,340.76
2020-10-08,105805.37,264.91,307,0.9975,7.45,0,-3.88,343.78
2020-10-09,106747.86,264.91,307,0.9975,7.45,0,-3.03,346.85
2020-10-12,108460.92,264.91,307,0.9976,7.45,0,-1.47,352.43
2020-10-13,107754.82,264.91,307,0.9975,7.45,0,-2.11,350.13
2020-10-14,107079.42,264.91,307,0.9975,7.45,0,-2.72,347.93
2020-10-15,106947.41,264.91,307,0.9975,7.98,2,-2.84,347.50
2020-10-16,106882.94,264.91,307,0.9975,7.98,2,-2.90,347.29
2020-10-19,105261.98,264.91,307,0.9975,9.26,2,-4.38,342.01
2020-10-20,105682.57,264.91,307,0.9975,9.26,2,-3.99,343.38
2020-10-21,105483.02,264.91,307,0.9975,9.26,2,-4.17,342.73
2020-10-22,106060.18,264.91,307,0.9975,9.26,2,-3.65,344.61
2020-10-23,106419.37,264.91,307,0.9975,9.26,1,-3.32,345.78
2020-10-26,104457.64,264.91,307,0.9975,7.87,2,-5.11,339.39
2020-10-27,104098.45,264.91,307,0.9975,7.87,2,-5.43,338.22
2020-10-28,100549.53,264.91,307,0.9974,6.81,2,-8.66,326.66
2020-10-29,101568.77,264.91,307,0.9974,7.87,1,-7.73,329.98
2020-10-30,100512.69,264.91,307,0.9974,6.81,1,-8.69,326.54
2020-11-02,101636.31,264.91,307,0.9974,7.87,1,-7.67,330.20
