date,value,cash,shares,position_pct,regime,danger,drawdown,price
2021-09-28,131107.26,123.82,302,0.9991,5.53,1,-4.31,433.72
2021-09-29,131327.72,123.82,302,0.9991,5.53,1,-4.15,434.45
2021-09-30,129724.10,123.82,302,0.9990,5.53,1,-5.32,429.14
2021-10-01,131264.30,123.82,302,0.9991,6.6,1,-4.20,434.24
2021-10-04,129573.10,123.82,302,0.9990,5.53,1,-5.43,428.64
2021-10-05,130920.02,123.82,302,0.9991,6.6,1,-4.45,433.10
2021-10-06,131463.62,123.82,302,0.9991,6.6,1,-4.05,434.90
2021-10-07,132599.14,123.82,302,0.9991,7.98,1,-3.22,438.66
2021-10-08,132357.54,123.82,302,0.9991,7.77,1,-3.40,437.86
2021-10-11,131400.20,123.82,302,0.9991,6.6,1,-4.10,434.69
2021-10-12,131077.06,123.82,302,0.9991,6.91,1,-4.33,433.62
2021-10-13,131548.18,123.82,302,0.9991,6.91,1,-3.99,435.18
2021-10-14,133758.82,123.82,302,0.9991,7.98,1,-2.38,442.50
2021-10-15,134776.56,123.82,302,0.9991,7.77,1,-1.63,445.87
2021-10-18,135175.20,123.82,302,0.9991,7.77,1,-1.34,447.19
2021-10-19,136217.10,123.82,302,0.9991,7.98,0,-0.58,450.64
2021-10-20,136751.64,123.82,302,0.9991,7.98,0,-0.19,452.41
2021-10-21,137108.00,123.82,302,0.9991,8.51,0,0.00,453.59
2021-10-22,136966.06,123.82,302,0.9991,8.51,0,-0.10,453.12
2021-10-25,137699.92,123.82,302,0.9991,8.51,0,0.00,455.55
2021-10-26,137823.74,123.82,302,0.9991,8.51,0,0.00,455.96
2021-10-27,137213.70,123.82,302,0.9991,8.51,2,-0.44,453.94
2021-10-28,138536.46,123.82,302,0.9991,8.51,1,0.00,458.32
2021-10-29,138817.32,123.82,302,0.9991,7.98,0,0.00,459.25
2021-11-01,139055.90,123.82,302,0.9991,7.98,0,0.00,460.04
2021-11-02,139617.62,123.82,302,0.9991,7.98,0,0.00,461.90
2021-11-03,140469.26,123.82,302,0.9991,7.98,0,0.00,464.72
2021-11-04,141130.64,123.82,302,0.9991,7.98,0,0.00,466.91
2021-11-05,141619.88,123.82,302,0.9991,8.51,0,0.00,468.53
2021-11-08,141740.68,123.82,302,0.9991,8.51,0,0.00,468.93
2021-11-09,141272.58,123.82,302,0.9991,7.98,0,-0.33,467.38
2021-11-10,140137.06,123.82,302,0.9991,8.51,1,-1.13,463.62
2021-11-11,140182.36,123.82,302,0.9991,8.51,1,-1.10,463.77
