date,value,cash,shares,position_pct,regime,danger,drawdown,price
2020-01-02,100000.00,264.91,307,0.9974,10,1,0.00,324.87
2020-01-03,99244.78,264.91,307,0.9973,10,1,-0.76,322.41
2020-01-06,99622.39,264.91,307,0.9973,10,1,-0.38,323.64
2020-01-07,99343.02,264.91,307,0.9973,9.47,1,-0.66,322.73
2020-01-08,99871.06,264.91,307,0.9973,10,1,-0.13,324.45
2020-01-09,100546.46,264.91,307,0.9974,10,1,0.00,326.65
2020-01-10,100257.88,264.91,307,0.9974,10,1,-0.29,325.71
2020-01-13,100945.56,264.91,307,0.9974,10,1,0.00,327.95
2020-01-14,100792.06,264.91,307,0.9974,10,1,-0.15,327.45
2020-01-15,101019.24,264.91,307,0.9974,10,1,0.00,328.19
2020-01-16,101857.35,264.91,307,0.9974,10,0,0.00,330.92
2020-01-17,102173.56,264.91,307,0.9974,10,0,0.00,331.95
2020-01-21,101974.01,264.91,307,0.9974,10,1,-0.20,331.30
2020-01-22,101986.29,264.91,307,0.9974,10,1,-0.18,331.34
2020-01-23,102102.95,264.91,307,0.9974,10,1,-0.07,331.72
2020-01-24,101197.30,264.91,307,0.9974,10,1,-0.96,328.77
2020-01-27,99579.41,264.91,307,0.9973,8.72,1,-2.54,323.50
2020-01-28,100620.14,264.91,307,0.9974,9.79,1,-1.52,326.89
2020-01-29,100537.25,264.91,307,0.9974,9.79,1,-1.60,326.62
2020-01-30,100862.67,264.91,307,0.9974,9.79,1,-1.28,327.68
2020-01-31,99036.02,264.91,307,0.9973,7.66,1,-3.07,321.73
2020-02-03,99769.75,264.91,307,0.9973,8.72,1,-2.35,324.12
2020-02-04,101286.33,264.91,307,0.9974,9.79,1,-0.87,329.06
2020-02-05,102452.93,264.91,307,0.9974,9.79,1,0.00,332.86
2020-02-06,102796.77,264.91,307,0.9974,10,1,0.00,333.98
2020-02-07,102250.31,264.91,307,0.9974,9.79,1,-0.53,332.20
2020-02-10,103011.67,264.91,307,0.9974,9.79,1,0.00,334.68
2020-02-11,103189.73,264.91,307,0.9974,9.79,1,0.00,335.26
2020-02-12,103852.85,264.91,307,0.9974,10,0,0.00,337.42
2020-02-13,103742.33,264.91,307,0.9974,10,1,-0.11,337.06
2020-02-14,103908.11,264.91,307,0.9975,10,1,0.00,337.60
2020-02-18,103641.02,264.91,307,0.9974,10,1,-0.26,336.73
2020-02-19,104135.29,264.91,307,0.9975,10,1,0.00,338.34
2020-02-20,103708.56,264.91,307,0.9974,9.79,1,-0.41,336.95
2020-02-21,102643.27,264.91,307,0.9974,9.26,1,-1.43,333.48
2020-02-24,99247.85,264.91,307,0.9973,6.6,2,-4.69,322.42
2020-02-25,96248.46,264.91,307,0.9972,7.13,3,-7.57,312.65
2020-02-26,95895.41,264.91,307,0.9972,6.6,3,-7.91,311.50
2020-02-27,91600.48,264.91,307,0.9971,6.28,4,-12.04,297.51
2020-02-28,91216.73,264.91,307,0.9971,6.81,4,-12.41,296.26
2020-03-02,95155.54,264.91,307,0.9972,7.34,1,-8.62,309.09
2020-03-03,92438.59,264.91,307,0.9971,6.28,2,-11.23,300.24
2020-03-04,96312.93,264.91,307,0.9972,7.34,1,-7.51,312.86
2020-03-05,93120.13,264.91,307,0.9972,6.28,2,-10.58,302.46
2020-03-06,91585.13,264.91,307,0.9971,6.28,3,-12.05,297.46
2020-03-09,84453.52,63612.04,76,0.2468,5.96,3,-18.90,274.23
2020-03-10,85531.96,63612.04,76,0.2563,7.02,2,-17.86,288.42
2020-03-11,84463.40,63612.04,76,0.2469,5.96,3,-18.89,274.36
2020-03-12,82468.40,63612.04,76,0.2286,5.96,3,-20.81,248.11
2020-03-13,84080.36,63612.04,76,0.2434,5.74,2,-19.26,269.32
2020-03-16,81840.64,61453.39,85,0.2491,5.74,3,-21.41,239.85
2020-03-17,82941.39,61453.39,85,0.2591,5.74,2,-20.35,252.80
2020-03-18,81853.39,61453.39,85,0.2492,5.74,2,-21.40,240.00
2020-03-19,81896.74,61453.39,85,0.2496,5.74,2,-21.36,240.51
2020-03-20,80901.39,61453.39,85,0.2404,5.74,2,-22.31,228.80
2020-03-23,80404.14,61453.39,85,0.2357,5.74,2,-22.79,222.95
2020-03-24,82121.14,61453.39,85,0.2517,4.47,2,-21.14,243.15
2020-03-25,82430.54,61453.39,85,0.2545,5.53,2,-20.84,246.79
2020-03-26,83655.39,61453.39,85,0.2654,5.53,1,-19.67,261.20
2020-03-27,82994.09,61453.39,85,0.2595,5.32,1,-20.30,253.42
2020-03-30,83693.64,61453.39,85,0.2657,6.06,1,-19.63,261.65
2020-03-31,83362.14,61453.39,85,0.2628,5.85,1,-19.95,257.75
2020-04-01,82376.14,61453.39,85,0.2540,6.91,2,-20.90,246.15
2020-04-02,82858.94,61453.39,85,0.2583,7.13,1,-20.43,251.83
2020-04-03,82549.54,61453.39,85,0.2556,7.13,1,-20.73,248.19
2020-04-06,83966.49,61453.39,85,0.2681,8.4,1,-19.37,264.86
2020-04-07,83989.44,61453.39,85,0.2683,8.62,1,-19.35,265.13
2020-04-08,84745.94,61453.39,85,0.2749,8.62,0,-18.62,274.03
2020-04-09,85100.39,61453.39,85,0.2779,8.62,0,-18.28,278.20
2020-04-13,84884.49,61453.39,85,0.2760,8.62,1,-18.49,275.66
2020-04-14,85575.54,61453.39,85,0.2819,8.62,0,-17.82,283.79
2020-04-15,85062.99,61453.39,85,0.2776,8.62,1,-18.31,277.76
2020-04-16,85176.89,61453.39,85,0.2785,8.62,1,-18.21,279.10
2020-04-17,85817.79,61453.39,85,0.2839,8.62,1,-17.59,286.64
2020-04-20,85388.54,61453.39,85,0.2803,8.62,2,-18.00,281.59
2020-04-21,84661.79,61453.39,85,0.2741,8.62,2,-18.70,273.04
2020-04-22,85176.89,61453.39,85,0.2785,8.94,0,-18.21,279.10
2020-04-23,85175.19,61453.39,85,0.2785,8.94,0,-18.21,279.08
2020-04-24,85505.84,61453.39,85,0.2813,8.94,0,-17.89,282.97
2020-04-27,85852.64,61453.39,85,0.2842,8.94,1,-17.56,287.05
2020-04-28,85740.44,61453.39,85,0.2833,8.94,1,-17.66,285.73
2020-04-29,86376.24,61453.39,85,0.2885,8.94,2,-17.05,293.21
2020-04-30,86144.19,61453.39,85,0.2866,8.94,1,-17.28,290.48
2020-05-01,85490.54,61453.39,85,0.2812,8.94,2,-17.90,282.79
2020-05-04,85556.84,61453.39,85,0.2817,7.98,2,-17.84,283.57
2020-05-05,85779.54,61453.39,85,0.2836,8.19,0,-17.63,286.19
2020-05-06,85614.64,61453.39,85,0.2822,8.19,1,-17.79,284.25
2020-05-07,85906.19,61453.39,85,0.2846,7.98,0,-17.51,287.68
2020-05-08,86310.79,61453.39,85,0.2880,8.3,1,-17.12,292.44
2020-05-11,86315.89,61453.39,85,0.2880,8.72,1,-17.11,292.50
2020-05-12,85820.34,61453.39,85,0.2839,8.4,1,-17.59,286.67
2020-05-13,85389.39,61453.39,85,0.2803,7.13,2,-18.00,281.60
2020-05-14,85675.84,61453.39,85,0.2827,8.19,1,-17.73,284.97
2020-05-15,85787.19,61453.39,85,0.2837,8.4,1,-17.62,286.28
2020-05-18,86528.39,61453.39,85,0.2898,8.51,0,-16.91,295.00
2020-05-19,86270.84,61453.39,85,0.2877,8.19,0,-17.16,291.97
2020-05-20,86692.44,61453.39,85,0.2911,8.51,0,-16.75,296.93
2020-05-21,86518.19,61453.39,85,0.2897,8.51,0,-16.92,294.88
2020-05-22,86565.79,61453.39,85,0.2901,8.51,0,-16.87,295.44
2020-05-26,86875.19,61453.39,85,0.2926,8.51,0,-16.57,299.08
2020-05-27,87253.44,61453.39,85,0.2957,8.51,0,-16.21,303.53
2020-05-28,87205.84,61453.39,85,0.2953,8.72,1,-16.26,302.97
2020-05-29,87320.59,61453.39,85,0.2962,8.51,0,-16.15,304.32
2020-06-01,87425.14,61453.39,85,0.2971,9.26,1,-16.05,305.55
2020-06-02,87640.19,61453.39,85,0.2988,9.26,0,-15.84,308.08
2020-06-03,87988.69,61453.39,85,0.3016,8.72,0,-15.51,312.18
2020-06-04,87918.99,61453.39,85,0.3010,9.26,0,-15.57,311.36
2020-06-05,88597.29,61453.39,85,0.3064,9.47,1,-14.92,319.34
2020-06-08,88925.39,61453.39,85,0.3089,9.26,0,-14.61,323.20
2020-06-09,88720.54,61453.39,85,0.3073,9.26,1,-14.80,320.79
2020-06-10,88568.39,61453.39,85,0.3061,9.26,1,-14.95,319.00
2020-06-11,87005.24,61453.39,85,0.2937,7.87,2,-16.45,300.61
2020-06-12,87311.24,61453.39,85,0.2962,8.94,1,-16.16,304.21
2020-06-15,87552.64,61453.39,85,0.2981,8.94,1,-15.92,307.05
2020-06-16,88054.99,61453.39,85,0.3021,8.94,0,-15.44,312.96
2020-06-17,87944.49,61453.39,85,0.3012,8.94,1,-15.55,311.66
2020-06-18,87954.69,61453.39,85,0.3013,8.94,1,-15.54,311.78
2020-06-19,87687.79,61453.39,85,0.2992,8.94,1,-15.79,308.64
2020-06-22,87856.09,61453.39,85,0.3005,8.94,1,-15.63,310.62
2020-06-23,87977.64,61453.39,85,0.3015,8.94,1,-15.52,312.05
2020-06-24,87301.04,61453.39,85,0.2961,7.87,2,-16.17,304.09
2020-06-25,87578.14,61453.39,85,0.2983,7.87,1,-15.90,307.35
2020-06-26,86957.64,61453.39,85,0.2933,6.81,1,-16.50,300.05
2020-06-29,87332.49,61453.39,85,0.2963,7.87,1,-16.14,304.46
2020-06-30,87663.99,61453.39,85,0.2990,7.87,1,-15.82,308.36
2020-07-01,87847.59,61453.39,85,0.3005,9.26,1,-15.64,310.52
2020-07-02,87992.94,61453.39,85,0.3016,9.26,1,-15.50,312.23
2020-07-06,88402.64,61453.39,85,0.3048,9.26,0,-15.11,317.05
2020-07-07,88124.69,61453.39,85,0.3027,9.26,1,-15.37,313.78
2020-07-08,88328.69,61453.39,85,0.3043,9.26,0,-15.18,316.18
2020-07-09,88175.69,61453.39,85,0.3031,9.26,2,-15.33,314.38
2020-07-10,88448.54,61453.39,85,0.3052,9.26,0,-15.06,317.59
2020-07-13,88214.79,61453.39,85,0.3034,8.94,2,-15.29,314.84
2020-07-14,88561.59,61453.39,85,0.3061,9.26,0,-14.96,318.92
2020-07-15,88810.64,61453.39,85,0.3080,9.26,0,-14.72,321.85
2020-07-16,88720.54,61453.39,85,0.3073,9.26,0,-14.80,320.79
2020-07-17,88799.59,61453.39,85,0.3080,9.26,0,-14.73,321.72
2020-07-20,89020.59,61453.39,85,0.3097,9.47,0,-14.51,324.32
2020-07-21,89079.24,61453.39,85,0.3101,9.47,0,-14.46,325.01
2020-07-22,89236.49,61453.39,85,0.3113,9.47,0,-14.31,326.86
2020-07-23,88904.99,61453.39,85,0.3088,9.26,1,-14.63,322.96
2020-07-24,88728.19,61453.39,85,0.3074,9.26,2,-14.80,320.88
2020-07-27,88927.09,61453.39,85,0.3089,9.47,1,-14.60,323.22
2020-07-28,88752.84,61453.39,85,0.3076,9.26,2,-14.77,321.17
2020-07-29,89088.59,61453.39,85,0.3102,9.47,1,-14.45,325.12
2020-07-30,88989.99,61453.39,85,0.3094,9.47,1,-14.54,323.96
2020-07-31,89207.59,61453.39,85,0.3111,9.47,1,-14.33,326.52
2020-08-03,89400.54,61453.39,85,0.3126,9.47,0,-14.15,328.79
2020-08-04,89508.49,61453.39,85,0.3134,9.47,0,-14.05,330.06
2020-08-05,89682.74,61453.39,85,0.3148,9.47,0,-13.88,332.11
2020-08-06,89871.44,61453.39,85,0.3162,9.47,0,-13.70,334.33
2020-08-07,89891.84,61453.39,85,0.3164,9.47,0,-13.68,334.57
2020-08-10,89976.84,61453.39,85,0.3170,9.47,0,-13.60,335.57
2020-08-11,89741.39,61453.39,85,0.3152,9.47,1,-13.82,332.80
2020-08-12,90135.79,61453.39,85,0.3182,9.47,0,-13.44,337.44
2020-08-13,90083.94,61453.39,85,0.3178,9.47,0,-13.49,336.83
2020-08-14,90084.79,61453.39,85,0.3178,9.47,0,-13.49,336.84
2020-08-17,90175.74,61453.39,85,0.3185,9.47,0,-13.41,337.91
2020-08-18,90237.79,61453.39,85,0.3190,8.94,0,-13.35,338.64
2020-08-19,90117.94,61453.39,85,0.3181,8.94,1,-13.46,337.23
2020-08-20,90207.19,61453.39,85,0.3188,8.94,1,-13.38,338.28
2020-08-21,90309.19,61453.39,85,0.3195,9.47,1,-13.28,339.48
2020-08-24,90601.59,61453.39,85,0.3217,9.47,0,-13.00,342.92
2020-08-25,90703.59,61453.39,85,0.3225,9.47,0,-12.90,344.12
2020-08-26,90996.84,61453.39,85,0.3247,9.47,0,-12.62,347.57
2020-08-27,91061.44,61453.39,85,0.3251,9.47,0,-12.55,348.33
2020-08-28,91252.69,61453.39,85,0.3266,9.47,0,-12.37,350.58
2020-08-31,91144.74,61453.39,85,0.3258,9.26,1,-12.47,349.31
2020-09-01,91424.39,61453.39,85,0.3278,9.26,1,-12.21,352.60
2020-09-02,91857.89,61453.39,85,0.3310,9.26,1,-11.79,357.70
2020-09-03,90811.54,61453.39,85,0.3233,8.94,2,-12.79,345.39
2020-09-04,90571.84,61453.39,85,0.3215,7.87,2,-13.02,342.57
2020-09-08,89776.24,61453.39,85,0.3155,6.81,2,-13.79,333.21
2020-09-09,90335.54,61453.39,85,0.3197,8.19,2,-13.25,339.79
2020-09-10,89834.04,61453.39,85,0.3159,7.13,2,-13.73,333.89
2020-09-11,89848.49,61453.39,85,0.3160,7.13,2,-13.72,334.06
2020-09-14,90222.49,61453.39,85,0.3189,8.19,2,-13.36,338.46
2020-09-15,90367.84,61453.39,85,0.3200,8.19,2,-13.22,340.17
2020-09-16,90253.09,61453.39,85,0.3191,8.19,2,-13.33,338.82
2020-09-17,89999.79,61453.39,85,0.3172,8.19,2,-13.57,335.84
2020-09-18,89558.64,61453.39,85,0.3138,6.6,2,-14.00,330.65
2020-09-21,89245.84,61453.39,85,0.3114,6.6,3,-14.30,326.97
2020-09-22,89528.89,61453.39,85,0.3136,7.66,2,-14.03,330.30
2020-09-23,88877.79,61453.39,85,0.3086,7.13,2,-14.65,322.64
2020-09-24,88950.89,61453.39,85,0.3091,6.6,2,-14.58,323.50
2020-09-25,89395.44,61453.39,85,0.3126,7.66,1,-14.15,328.73
2020-09-28,89859.54,61453.39,85,0.3161,7.66,1,-13.71,334.19
2020-09-29,89704.84,61453.39,85,0.3149,7.66,1,-13.86,332.37
2020-09-30,89919.04,61453.39,85,0.3166,7.66,1,-13.65,334.89
2020-10-01,90101.79,61453.39,85,0.3180,8.72,1,-13.48,337.04
2020-10-02,89829.79,61453.39,85,0.3159,8.72,2,-13.74,333.84
2020-10-05,90332.99,61453.39,85,0.3197,7.45,2,-13.25,339.76
2020-10-06,89922.44,61453.39,85,0.3166,7.45,2,-13.65,334.93
2020-10-07,90417.99,61453.39,85,0.3203,7.45,2,-13.17,340.76
2020-10-08,90674.69,61453.39,85,0.3223,7.45,0,-12.93,343.78
2020-10-09,90935.64,61453.39,85,0.3242,7.45,0,-12.68,346.85
2020-10-12,91409.94,61453.39,85,0.3277,7.45,0,-12.22,352.43
2020-10-13,91214.44,61453.39,85,0.3263,7.45,0,-12.41,350.13
2020-10-14,91027.44,61453.39,85,0.3249,7.45,0,-12.59,347.93
2020-10-15,90990.89,61453.39,85,0.3246,7.98,2,-12.62,347.50
2020-10-16,90973.04,61453.39,85,0.3245,7.98,2,-12.64,347.29
2020-10-19,90524.24,61453.39,85,0.3211,9.26,2,-13.07,342.01
2020-10-20,90640.69,61453.39,85,0.3220,9.26,2,-12.96,343.38
2020-10-21,90585.44,61453.39,85,0.3216,9.26,2,-13.01,342.73
2020-10-22,90745.24,61453.39,85,0.3228,9.26,2,-12.86,344.61
2020-10-23,90844.69,61453.39,85,0.3235,9.26,1,-12.76,345.78
2020-10-26,90301.54,61453.39,85,0.3195,7.87,2,-13.28,339.39
