date,value,cash,shares,position_pct,regime,danger,drawdown,price
2020-01-02,100000.00,264.91,307,0.9974,10,1,0.00,324.87
2020-01-03,99244.78,264.91,307,0.9973,10,1,-0.76,322.41
2020-01-06,99622.39,264.91,307,0.9973,10,1,-0.38,323.64
2020-01-07,99343.02,264.91,307,0.9973,9.47,1,-0.66,322.73
2020-01-08,99871.06,264.91,307,0.9973,10,1,-0.13,324.45
2020-01-09,100546.46,264.91,307,0.9974,10,1,0.00,326.65
2020-01-10,100257.88,264.91,307,0.9974,10,1,-0.29,325.71
2020-01-13,100945.56,264.91,307,0.9974,10,1,0.00,327.95
2020-01-14,100792.06,264.91,307,0.9974,10,1,-0.15,327.45
2020-01-15,101019.24,264.91,307,0.9974,10,1,0.00,328.19
2020-01-16,101857.35,264.91,307,0.9974,10,0,0.00,330.92
2020-01-17,102173.56,264.91,307,0.9974,10,0,0.00,331.95
2020-01-21,101974.01,264.91,307,0.9974,10,1,-0.20,331.30
2020-01-22,101986.29,264.91,307,0.9974,10,1,-0.18,331.34
2020-01-23,102102.95,264.91,307,0.9974,10,1,-0.07,331.72
2020-01-24,101197.30,264.91,307,0.9974,10,1,-0.96,328.77
2020-01-27,99579.41,264.91,307,0.9973,8.72,1,-2.54,323.50
2020-01-28,100620.14,264.91,307,0.9974,9.79,1,-1.52,326.89
2020-01-29,100537.25,264.91,307,0.9974,9.79,1,-1.60,326.62
2020-01-30,100862.67,264.91,307,0.9974,9.79,1,-1.28,327.68
2020-01-31,99036.02,264.91,307,0.9973,7.66,1,-3.07,321.73
2020-02-03,99769.75,264.91,307,0.9973,8.72,1,-2.35,324.12
2020-02-04,101286.33,264.91,307,0.9974,9.79,1,-0.87,329.06
2020-02-05,102452.93,264.91,307,0.9974,9.79,1,0.00,332.86
2020-02-06,102796.77,264.91,307,0.9974,10,1,0.00,333.98
2020-02-07,102250.31,264.91,307,0.9974,9.79,1,-0.53,332.20
2020-02-10,103011.67,264.91,307,0.9974,9.79,1,0.00,334.68
2020-02-11,103189.73,264.91,307,0.9974,9.79,1,0.00,335.26
2020-02-12,103852.85,264.91,307,0.9974,10,0,0.00,337.42
2020-02-13,103742.33,264.91,307,0.9974,10,1,-0.11,337.06
2020-02-14,103908.11,264.91,307,0.9975,10,1,0.00,337.60
2020-02-18,103641.02,264.91,307,0.9974,10,1,-0.26,336.73
2020-02-19,104135.29,264.91,307,0.9975,10,1,0.00,338.34
2020-02-20,103708.56,264.91,307,0.9974,9.79,1,-0.41,336.95
2020-02-21,102643.27,264.91,307,0.9974,9.26,1,-1.43,333.48
2020-02-24,99247.85,264.91,307,0.9973,6.6,2,-4.69,322.42
2020-02-25,96248.46,264.91,307,0.9972,7.13,3,-7.57,312.65
2020-02-26,95895.41,264.91,307,0.9972,6.6,3,-7.91,311.50
2020-02-27,91335.57,91335.57,0,0.0000,6.28,4,-12.29,297.51
2020-02-28,91335.57,91335.57,0,0.0000,6.81,4,-12.29,296.26
2020-03-02,91335.57,154.02,295,0.9983,7.34,1,-12.29,309.09
2020-03-03,88724.82,154.02,295,0.9983,6.28,2,-14.80,300.24
2020-03-04,92447.72,154.02,295,0.9983,7.34,1,-11.22,312.86
2020-03-05,89379.72,154.02,295,0.9983,6.28,2,-14.17,302.46
2020-03-06,87904.72,154.02,295,0.9982,6.28,3,-15.59,297.46
2020-03-09,81051.87,40740.06,147,0.4974,5.96,3,-22.17,274.23
2020-03-10,83137.80,40740.06,147,0.5100,7.02,2,-20.16,288.42
2020-03-11,81070.98,40740.06,147,0.4975,5.96,3,-22.15,274.36
2020-03-12,77212.23,40740.06,147,0.4724,5.96,3,-25.85,248.11
2020-03-13,80330.10,40740.06,147,0.4928,5.74,2,-22.86,269.32
2020-03-16,75998.01,38101.71,158,0.4986,5.74,3,-27.02,239.85
2020-03-17,78044.11,38101.71,158,0.5118,5.74,2,-25.06,252.80
2020-03-18,76021.71,38101.71,158,0.4988,5.74,2,-27.00,240.00
2020-03-19,76102.29,38101.71,158,0.4993,5.74,2,-26.92,240.51
2020-03-20,74252.11,38101.71,158,0.4869,5.74,2,-28.70,228.80
2020-03-23,73327.81,38101.71,158,0.4804,5.74,2,-29.58,222.95
2020-03-24,76519.41,38101.71,158,0.5021,4.47,2,-26.52,243.15
2020-03-25,77094.53,38101.71,158,0.5058,5.53,2,-25.97,246.79
2020-03-26,79371.31,38101.71,158,0.5200,5.53,1,-23.78,261.20
2020-03-27,78142.07,38101.71,158,0.5124,5.32,1,-24.96,253.42
2020-03-30,79442.41,38101.71,158,0.5204,6.06,1,-23.71,261.65
2020-03-31,78826.21,38101.71,158,0.5166,5.85,1,-24.30,257.75
2020-04-01,76993.41,38101.71,158,0.5051,6.91,2,-26.06,246.15
2020-04-02,77890.85,38101.71,158,0.5108,7.13,1,-25.20,251.83
2020-04-03,77315.73,38101.71,158,0.5072,7.13,1,-25.75,248.19
2020-04-06,79949.59,38101.71,158,0.5234,8.4,1,-23.23,264.86
2020-04-07,79992.25,38101.71,158,0.5237,8.62,1,-23.18,265.13
2020-04-08,81398.45,38101.71,158,0.5319,8.62,0,-21.83,274.03
2020-04-09,82057.31,38101.71,158,0.5357,8.62,0,-21.20,278.20
2020-04-13,81655.99,38101.71,158,0.5334,8.62,1,-21.59,275.66
2020-04-14,82940.53,38101.71,158,0.5406,8.62,0,-20.35,283.79
2020-04-15,81987.79,38101.71,158,0.5353,8.62,1,-21.27,277.76
2020-04-16,82199.51,38101.71,158,0.5365,8.62,1,-21.06,279.10
2020-04-17,83390.83,38101.71,158,0.5431,8.62,1,-19.92,286.64
2020-04-20,82592.93,38101.71,158,0.5387,8.62,2,-20.69,281.59
2020-04-21,81242.03,38101.71,158,0.5310,8.62,2,-21.98,273.04
2020-04-22,82199.51,38101.71,158,0.5365,8.94,0,-21.06,279.10
2020-04-23,82196.35,38101.71,158,0.5365,8.94,0,-21.07,279.08
2020-04-24,82810.97,38101.71,158,0.5399,8.94,0,-20.48,282.97
2020-04-27,83455.61,38101.71,158,0.5434,8.94,1,-19.86,287.05
2020-04-28,83247.05,38101.71,158,0.5423,8.94,1,-20.06,285.73
2020-04-29,84428.89,38101.71,158,0.5487,8.94,2,-18.92,293.21
2020-04-30,83997.55,38101.71,158,0.5464,8.94,1,-19.34,290.48
2020-05-01,82782.53,38101.71,158,0.5397,8.94,2,-20.50,282.79
2020-05-04,82905.77,38101.71,158,0.5404,7.98,2,-20.39,283.57
2020-05-05,83319.73,38101.71,158,0.5427,8.19,0,-19.99,286.19
2020-05-06,83013.21,38101.71,158,0.5410,8.19,1,-20.28,284.25
2020-05-07,83555.15,38101.71,158,0.5440,7.98,0,-19.76,287.68
2020-05-08,84307.23,38101.71,158,0.5481,8.3,1,-19.04,292.44
2020-05-11,84316.71,38101.71,158,0.5481,8.72,1,-19.03,292.50
2020-05-12,83395.57,38101.71,158,0.5431,8.4,1,-19.92,286.67
2020-05-13,82594.51,38101.71,158,0.5387,7.13,2,-20.69,281.60
2020-05-14,83126.97,38101.71,158,0.5416,8.19,1,-20.17,284.97
2020-05-15,83333.95,38101.71,158,0.5428,8.4,1,-19.98,286.28
2020-05-18,84711.71,38101.71,158,0.5502,8.51,0,-18.65,295.00
2020-05-19,84232.97,38101.71,158,0.5477,8.19,0,-19.11,291.97
2020-05-20,85016.65,38101.71,158,0.5518,8.51,0,-18.36,296.93
2020-05-21,84692.75,38101.71,158,0.5501,8.51,0,-18.67,294.88
2020-05-22,84781.23,38101.71,158,0.5506,8.51,0,-18.59,295.44
2020-05-26,85356.35,38101.71,158,0.5536,8.51,0,-18.03,299.08
2020-05-27,86059.45,38101.71,158,0.5573,8.51,0,-17.36,303.53
2020-05-28,85970.97,38101.71,158,0.5568,8.72,1,-17.44,302.97
2020-05-29,86184.27,38101.71,158,0.5579,8.51,0,-17.24,304.32
2020-06-01,86378.61,38101.71,158,0.5589,9.26,1,-17.05,305.55
2020-06-02,86778.35,38101.71,158,0.5609,9.26,0,-16.67,308.08
2020-06-03,87426.15,38101.71,158,0.5642,8.72,0,-16.05,312.18
2020-06-04,87296.59,38101.71,158,0.5635,9.26,0,-16.17,311.36
2020-06-05,88557.43,38101.71,158,0.5698,9.47,1,-14.96,319.34
2020-06-08,89167.31,38101.71,158,0.5727,9.26,0,-14.37,323.20
2020-06-09,88786.53,38101.71,158,0.5709,9.26,1,-14.74,320.79
2020-06-10,88503.71,38101.71,158,0.5695,9.26,1,-15.01,319.00
2020-06-11,85598.09,38101.71,158,0.5549,7.87,2,-17.80,300.61
2020-06-12,86166.89,38101.71,158,0.5578,8.94,1,-17.25,304.21
2020-06-15,86615.61,38101.71,158,0.5601,8.94,1,-16.82,307.05
2020-06-16,87549.39,38101.71,158,0.5648,8.94,0,-15.93,312.96
2020-06-17,87343.99,38101.71,158,0.5638,8.94,1,-16.12,311.66
2020-06-18,87362.95,38101.71,158,0.5639,8.94,1,-16.11,311.78
2020-06-19,86866.83,38101.71,158,0.5614,8.94,1,-16.58,308.64
2020-06-22,87179.67,38101.71,158,0.5630,8.94,1,-16.28,310.62
2020-06-23,87405.61,38101.71,158,0.5641,8.94,1,-16.07,312.05
2020-06-24,86147.93,38101.71,158,0.5577,7.87,2,-17.27,304.09
2020-06-25,86663.01,38101.71,158,0.5603,7.87,1,-16.78,307.35
2020-06-26,85509.61,38101.71,158,0.5544,6.81,1,-17.89,300.05
2020-06-29,86206.39,38101.71,158,0.5580,7.87,1,-17.22,304.46
2020-06-30,86822.59,38101.71,158,0.5612,7.87,1,-16.63,308.36
2020-07-01,87163.87,38101.71,158,0.5629,9.26,1,-16.30,310.52
2020-07-02,87434.05,38101.71,158,0.5642,9.26,1,-16.04,312.23
2020-07-06,88195.61,38101.71,158,0.5680,9.26,0,-15.31,317.05
2020-07-07,87678.95,38101.71,158,0.5654,9.26,1,-15.80,313.78
2020-07-08,88058.15,38101.71,158,0.5673,9.26,0,-15.44,316.18
2020-07-09,87773.75,38101.71,158,0.5659,9.26,2,-15.71,314.38
2020-07-10,88280.93,38101.71,158,0.5684,9.26,0,-15.22,317.59
2020-07-13,87846.43,38101.71,158,0.5663,8.94,2,-15.64,314.84
2020-07-14,88491.07,38101.71,158,0.5694,9.26,0,-15.02,318.92
2020-07-15,88954.01,38101.71,158,0.5717,9.26,0,-14.58,321.85
2020-07-16,88786.53,38101.71,158,0.5709,9.26,0,-14.74,320.79
2020-07-17,88933.47,38101.71,158,0.5716,9.26,0,-14.60,321.72
2020-07-20,89344.27,38101.71,158,0.5735,9.47,0,-14.20,324.32
2020-07-21,89453.29,38101.71,158,0.5741,9.47,0,-14.10,325.01
2020-07-22,89745.59,38101.71,158,0.5754,9.47,0,-13.82,326.86
2020-07-23,89129.39,38101.71,158,0.5725,9.26,1,-14.41,322.96
2020-07-24,88800.75,38101.71,158,0.5709,9.26,2,-14.73,320.88
2020-07-27,89170.47,38101.71,158,0.5727,9.47,1,-14.37,323.22
2020-07-28,88846.57,38101.71,158,0.5712,9.26,2,-14.68,321.17
2020-07-29,89470.67,38101.71,158,0.5741,9.47,1,-14.08,325.12
2020-07-30,89287.39,38101.71,158,0.5733,9.47,1,-14.26,323.96
2020-07-31,89691.87,38101.71,158,0.5752,9.47,1,-13.87,326.52
2020-08-03,90050.53,38101.71,158,0.5769,9.47,0,-13.53,328.79
2020-08-04,90251.19,38101.71,158,0.5778,9.47,0,-13.33,330.06
2020-08-05,90575.09,38101.71,158,0.5793,9.47,0,-13.02,332.11
2020-08-06,90925.85,38101.71,158,0.5810,9.47,0,-12.68,334.33
2020-08-07,90963.77,38101.71,158,0.5811,9.47,0,-12.65,334.57
2020-08-10,91121.77,38101.71,158,0.5819,9.47,0,-12.50,335.57
2020-08-11,90684.11,38101.71,158,0.5798,9.47,1,-12.92,332.80
2020-08-12,91417.23,38101.71,158,0.5832,9.47,0,-12.21,337.44
2020-08-13,91320.85,38101.71,158,0.5828,9.47,0,-12.31,336.83
2020-08-14,91322.43,38101.71,158,0.5828,9.47,0,-12.30,336.84
2020-08-17,91491.49,38101.71,158,0.5835,9.47,0,-12.14,337.91
2020-08-18,91606.83,38101.71,158,0.5841,8.94,0,-12.03,338.64
2020-08-19,91384.05,38101.71,158,0.5831,8.94,1,-12.24,337.23
2020-08-20,91549.95,38101.71,158,0.5838,8.94,1,-12.09,338.28
2020-08-21,91739.55,38101.71,158,0.5847,9.47,1,-11.90,339.48
2020-08-24,92283.07,38101.71,158,0.5871,9.47,0,-11.38,342.92
2020-08-25,92472.67,38101.71,158,0.5880,9.47,0,-11.20,344.12
2020-08-26,93017.77,38101.71,158,0.5904,9.47,0,-10.68,347.57
2020-08-27,93137.85,38101.71,158,0.5909,9.47,0,-10.56,348.33
2020-08-28,93493.35,38101.71,158,0.5925,9.47,0,-10.22,350.58
2020-08-31,93292.69,38101.71,158,0.5916,9.26,1,-10.41,349.31
2020-09-01,93812.51,38101.71,158,0.5939,9.26,1,-9.91,352.60
2020-09-02,94618.31,38101.71,158,0.5973,9.26,1,-9.14,357.70
2020-09-03,92673.33,38101.71,158,0.5889,8.94,2,-11.01,345.39
2020-09-04,92227.77,38101.71,158,0.5869,7.87,2,-11.43,342.57
2020-09-08,90748.89,38101.71,158,0.5801,6.81,2,-12.85,333.21
2020-09-09,91788.53,38101.71,158,0.5849,8.19,2,-11.86,339.79
2020-09-10,90856.33,38101.71,158,0.5806,7.13,2,-12.75,333.89
2020-09-11,90883.19,38101.71,158,0.5808,7.13,2,-12.73,334.06
2020-09-14,91578.39,38101.71,158,0.5839,8.19,2,-12.06,338.46
2020-09-15,91848.57,38101.71,158,0.5852,8.19,2,-11.80,340.17
2020-09-16,91635.27,38101.71,158,0.5842,8.19,2,-12.00,338.82
2020-09-17,91164.43,38101.71,158,0.5821,8.19,2,-12.46,335.84
2020-09-18,90344.41,38101.71,158,0.5783,6.6,2,-13.24,330.65
2020-09-21,89762.97,38101.71,158,0.5755,6.6,3,-13.80,326.97
2020-09-22,90289.11,38101.71,158,0.5780,7.66,2,-13.30,330.30
2020-09-23,89078.83,38101.71,158,0.5723,7.13,2,-14.46,322.64
2020-09-24,89214.71,38101.71,158,0.5729,6.6,2,-14.33,323.50
2020-09-25,90041.05,38101.71,158,0.5768,7.66,1,-13.53,328.73
2020-09-28,90903.73,38101.71,158,0.5809,7.66,1,-12.71,334.19
2020-09-29,90616.17,38101.71,158,0.5795,7.66,1,-12.98,332.37
2020-09-30,91014.33,38101.71,158,0.5814,7.66,1,-12.60,334.89
2020-10-01,91354.03,38101.71,158,0.5829,8.72,1,-12.27,337.04
2020-10-02,90848.43,38101.71,158,0.5806,8.72,2,-12.76,333.84
2020-10-05,91783.79,38101.71,158,0.5849,7.45,2,-11.86,339.76
2020-10-06,91020.65,38101.71,158,0.5814,7.45,2,-12.59,334.93
2020-10-07,91941.79,38101.71,158,0.5856,7.45,2,-11.71,340.76
2020-10-08,92418.95,38101.71,158,0.5877,7.45,0,-11.25,343.78
2020-10-09,92904.01,38101.71,158,0.5899,7.45,0,-10.79,346.85
2020-10-12,93785.65,38101.71,158,0.5937,7.45,0,-9.94,352.43
2020-10-13,93422.25,38101.71,158,0.5922,7.45,0,-10.29,350.13
2020-10-14,93074.65,38101.71,158,0.5906,7.45,0,-10.62,347.93
2020-10-15,93006.71,38101.71,158,0.5903,7.98,2,-10.69,347.50
2020-10-16,92973.53,38101.71,158,0.5902,7.98,2,-10.72,347.29
2020-10-19,92139.29,38101.71,158,0.5865,9.26,2,-11.52,342.01
2020-10-20,92355.75,38101.71,158,0.5874,9.26,2,-11.31,343.38
2020-10-21,92253.05,38101.71,158,0.5870,9.26,2,-11.41,342.73
2020-10-22,92550.09,38101.71,158,0.5883,9.26,2,-11.13,344.61
2020-10-23,92734.95,38101.71,158,0.5891,9.26,1,-10.95,345.78
2020-10-26,91725.33,38101.71,158,0.5846,7.87,2,-11.92,339.39
