atr_mult,atr_trailing,min_hold,risk_frac,target_mult,max_pos,final_cash,return_pct,win_rate,total_trades,buy_count,skip_count,beat_spy,beat_qqq,excess_vs_spy,excess_vs_qqq,score,error,strategy,desc
1.5,4.0,5,0.2,3.0,5,,-999,54.1,108,,,0,0,-1028.7,-1044.6,-1038.24,,baseline,当前参数（基准）
0.75,3.0,5,0.2,3.0,5,,-999,54.3,150,,,0,0,-1028.7,-1044.6,-1038.24,,tight_stop,核心：紧止损守住本金
1.5,2.0,5,0.2,3.0,5,,-999,58.9,162,,,0,0,-1028.7,-1044.6,-1038.24,,aggressive_trail,核心：紧跟踪止盈（防止回撤吞噬）
1.5,4.0,5,0.1,3.0,8,,-999,53.3,198,,,0,0,-1028.7,-1044.6,-1038.24,,small_pos,核心：小仓位多分散（降低黑天鹅）
1.5,4.0,5,0.35,3.0,3,,-999,54.1,73,,,0,0,-1028.7,-1044.6,-1038.24,,large_pos,核心：大仓位少集中（牛市中子弹用在刀刃上）
