atr_mult,atr_trailing,min_hold,risk_frac,target_mult,max_pos,final_cash,return_pct,win_rate,total_trades,buy_count,skip_count,beat_spy,beat_qqq,excess_vs_spy,excess_vs_qqq,score,error,strategy,desc
1.5,4.0,5,0.2,3.0,5,,-999,54.1,108,,,0,0,-1028.7,-1044.6,-1038.24,,baseline,当前参数（基准）
0.75,3.0,5,0.2,3.0,5,,-999,54.3,150,,,0,0,-1028.7,-1044.6,-1038.24,,tight_stop,核心：紧止损守住本金
1.5,2.0,5,0.2,3.0,5,,-999,58.9,162,,,0,0,-1028.7,-1044.6,-1038.24,,aggressive_trail,核心：紧跟踪止盈（防止回撤吞噬）
1.5,4.0,5,0.1,3.0,8,,-999,53.3,198,,,0,0,-1028.7,-1044.6,-1038.24,,small_pos,核心：小仓位多分散（降低黑天鹅）
1.5,4.0,5,0.35,3.0,3,,-999,54.1,73,,,0,0,-1028.7,-1044.6,-1038.24,,large_pos,核心：大仓位少集中（牛市中子弹用在刀刃上）
1.5,4.0,5,0.2,2.0,5,,-999,62.2,142,,,0,0,-1028.7,-1044.6,-1038.24,,short_target,核心：短目标早出场（强势市场落袋为安）
1.5,5.0,8,0.2,5.0,5,,-999,40.2,91,,,0,0,-1028.7,-1044.6,-1038.24,,long_target,核心：长目标让利润奔跑（趋势跟踪）
0.75,2.0,5,0.1,2.5,5,,-999,57.5,173,,,0,0,-1028.7,-1044.6,-1038.24,,combined,激进组合：紧止损+紧跟踪+小仓位
2.0,6.0,12,0.25,6.0,5,,-999,43.8,88,,,0,0,-1028.7,-1044.6,-1038.24,,momentum,动量模式：长持仓+宽跟踪+大目标
