frame_0001.jpg # 1s, 3 frames
frame_0004.jpg # 4s, 249 frames
frame_0043.jpg # 43s, 24 frames
frame_0067.jpg # 67s, 10 frames
frame_0070.jpg # 70s, 5 frames
frame_0082.jpg # 82s, 256 frames
frame_0338.jpg # 338s, 50 frames
frame_0388.jpg # 388s, 99 frames
frame_0487.jpg # 487s, 106 frames
frame_0593.jpg # 593s, 99 frames
frame_0683.jpg # 683s, 45 frames
frame_0694.jpg # 694s, 174 frames
frame_0911.jpg # 911s, 92 frames
frame_1003.jpg # 1003s, 91 frames
frame_1006.jpg # 1006s, 9 frames
frame_1103.jpg # 1103s, 181 frames
frame_1284.jpg # 1284s, 232 frames
frame_1516.jpg # 1516s, 138 frames
frame_1654.jpg # 1654s, 68 frames
frame_1722.jpg # 1722s, 11 frames
frame_1723.jpg # 1723s, 5 frames
frame_1730.jpg # 1730s, 3 frames
frame_1951.jpg # 1951s, 4 frames
