date,close,lr_prob
2025-06-02,592.71,0.113219
2025-06-03,596.09,0.098682
2025-06-04,595.93,0.109582
2025-06-05,593.05,0.085983
2025-06-06,599.14,0.104659
2025-06-09,599.68,0.111151
2025-06-10,603.08,0.101541
2025-06-11,601.36,0.115842
2025-06-12,603.75,0.133755
2025-06-13,597.0,0.16175
2025-06-16,602.68,0.111437
2025-06-17,597.53,0.162001
2025-06-18,597.44,0.15801
2025-06-20,594.28,0.141722
2025-06-23,600.15,0.123075
2025-06-24,606.78,0.127585
2025-06-25,607.12,0.138384
2025-06-26,611.87,0.145278
2025-06-27,614.91,0.147787
2025-06-30,617.85,0.136532
2025-07-01,617.65,0.141421
2025-07-02,620.45,0.14594
2025-07-03,625.34,0.161552
2025-07-07,620.68,0.133744
2025-07-08,620.34,0.130694
2025-07-09,624.06,0.124639
2025-07-10,625.82,0.12795
2025-07-11,623.62,0.116505
2025-07-14,624.81,0.138109
2025-07-15,622.14,0.116375
2025-07-16,624.22,0.10278
2025-07-17,628.04,0.123665
2025-07-18,627.58,0.135248
2025-07-21,628.77,0.141555
2025-07-22,628.86,0.151608
2025-07-23,634.21,0.146322
2025-07-24,634.42,0.139027
2025-07-25,637.1,0.156246
2025-07-28,636.94,0.155999
2025-07-29,635.26,0.155984
2025-07-30,634.46,0.123062
2025-07-31,632.08,0.114948
2025-08-01,621.72,0.174747
2025-08-04,631.17,0.138301
2025-08-05,627.97,0.204087
2025-08-06,632.78,0.143573
2025-08-07,632.25,0.138206
2025-08-08,637.18,0.155547
2025-08-11,635.92,0.153032
2025-08-12,642.69,0.152336
2025-08-13,644.89,0.147526
2025-08-14,644.95,0.145969
2025-08-15,643.44,0.126138
2025-08-18,643.3,0.148473
2025-08-19,639.81,0.114844
2025-08-20,638.11,0.138831
2025-08-21,635.55,0.19061
2025-08-22,645.31,0.101684
2025-08-25,642.47,0.126163
2025-08-26,645.16,0.129052
2025-08-27,646.63,0.138552
2025-08-28,648.92,0.130655
2025-08-29,645.05,0.110521
2025-09-02,640.27,0.182958
2025-09-03,643.74,0.134204
2025-09-04,649.12,0.136714
2025-09-05,647.24,0.115411
2025-09-08,648.83,0.140506
2025-09-09,650.33,0.147541
2025-09-10,652.21,0.136956
2025-09-11,657.63,0.145428
2025-09-12,657.41,0.141589
2025-09-15,660.91,0.155978
2025-09-16,660.0,0.154626
2025-09-17,659.18,0.110683
2025-09-18,662.26,0.115758
2025-09-19,663.7,0.110678
2025-09-22,666.84,0.138567
2025-09-23,663.21,0.13949
2025-09-24,661.1,0.150239
2025-09-25,658.05,0.183042
2025-09-26,661.82,0.136629
2025-09-29,663.68,0.136235
2025-09-30,666.18,0.135153
2025-10-01,668.45,0.160616
2025-10-02,669.22,0.184528
2025-10-03,669.21,0.165351
2025-10-06,671.61,0.1811
2025-10-07,669.12,0.166003
2025-10-08,673.11,0.163775
2025-10-09,671.16,0.159959
2025-10-10,653.02,0.215566
2025-10-13,663.04,0.190959
2025-10-14,662.23,0.196696
2025-10-15,665.17,0.192601
2025-10-16,660.64,0.209086
2025-10-17,664.39,0.219655
2025-10-20,671.3,0.166111
2025-10-21,671.29,0.16563
2025-10-22,667.8,0.142691
2025-10-23,671.76,0.154103
2025-10-24,677.25,0.144482
2025-10-27,685.24,0.152252
2025-10-28,687.06,0.151493
2025-10-29,687.39,0.131593
2025-10-30,679.83,0.179931
2025-10-31,682.06,0.107971
2025-11-03,683.34,0.119507
2025-11-04,675.24,0.154977
2025-11-05,677.58,0.152262
2025-11-06,670.31,0.178692
2025-11-07,670.97,0.158294
2025-11-10,681.44,0.146938
2025-11-11,683.0,0.17231
2025-11-12,683.38,0.166078
2025-11-13,672.04,0.23393
2025-11-14,671.93,0.230775
2025-11-17,665.67,0.26852
2025-11-18,660.08,0.26504
2025-11-19,662.63,0.265264
2025-11-20,652.53,0.256661
2025-11-21,659.03,0.250659
2025-11-24,668.73,0.258607
2025-11-25,675.02,0.259345
2025-11-26,679.68,0.252631
2025-11-28,683.39,0.214605
2025-12-01,680.27,0.191077
2025-12-02,681.53,0.156662
2025-12-03,683.89,0.148391
2025-12-04,684.39,0.137528
2025-12-05,685.69,0.11715
2025-12-08,683.63,0.147673
2025-12-09,683.04,0.137826
2025-12-10,687.57,0.115546
2025-12-11,689.17,0.109282
2025-12-12,681.76,0.129736
2025-12-15,680.73,0.162778
2025-12-16,678.87,0.134209
2025-12-17,671.4,0.171379
2025-12-18,676.47,0.152762
2025-12-19,680.59,0.154398
2025-12-22,684.83,0.146716
2025-12-23,687.96,0.157118
2025-12-24,690.38,0.202128
2025-12-26,690.31,0.192321
2025-12-29,687.85,0.1641
2025-12-30,687.01,0.168444
2025-12-31,681.92,0.207434
2026-01-02,683.17,0.172163
2026-01-05,687.72,0.137393
2026-01-06,691.81,0.140217
2026-01-07,689.58,0.137493
2026-01-08,689.51,0.154924
2026-01-09,694.07,0.135259
2026-01-12,695.16,0.148061
2026-01-13,693.77,0.131635
2026-01-14,690.36,0.13077
2026-01-15,692.24,0.140562
2026-01-16,691.66,0.135869
2026-01-20,677.58,0.261751
2026-01-21,685.4,0.156196
2026-01-22,688.98,0.141068
2026-01-23,689.23,0.154923
2026-01-26,692.73,0.156644
2026-01-27,695.49,0.184761
2026-01-28,695.42,0.164921
2026-01-29,694.04,0.133178
2026-01-30,691.97,0.13368
2026-02-02,695.41,0.13951
2026-02-03,689.53,0.130374
2026-02-04,686.19,0.202173
2026-02-05,677.62,0.261607
2026-02-06,690.62,0.140629
2026-02-09,693.95,0.134328
2026-02-10,692.12,0.152801
2026-02-11,691.96,0.145726
2026-02-12,681.27,0.246472
2026-02-13,681.75,0.225416
2026-02-17,682.85,0.231653
2026-02-18,686.29,0.22344
2026-02-19,684.48,0.274953
2026-02-20,689.43,0.160992
2026-02-23,682.39,0.282128
2026-02-24,687.35,0.251623
2026-02-25,693.15,0.177853
2026-02-26,689.3,0.169463
2026-02-27,685.99,0.226666
2026-03-02,686.38,0.246197
2026-03-03,680.33,0.265567
2026-03-04,685.13,0.229358
2026-03-05,681.31,0.251814
2026-03-06,672.38,0.354262
2026-03-09,678.27,0.278542
2026-03-10,677.18,0.346139
2026-03-11,676.33,0.347879
2026-03-12,666.06,0.373739
2026-03-13,662.29,0.409365
2026-03-16,669.03,0.351129
2026-03-17,670.79,0.319994
2026-03-18,661.43,0.397079
2026-03-19,659.8,0.36601
2026-03-20,648.57,0.358756
2026-03-23,655.38,0.320417
2026-03-24,653.18,0.371463
2026-03-25,656.82,0.372452
2026-03-26,645.09,0.429916
2026-03-27,634.09,0.490609
2026-03-30,631.97,0.454341
2026-03-31,650.34,0.259938
2026-04-01,655.24,0.249076
2026-04-02,655.83,0.300726
2026-04-06,658.93,0.366192
2026-04-07,659.22,0.333598
2026-04-08,676.01,0.165902
2026-04-09,679.91,0.169749
2026-04-10,679.46,0.170403
