date,close,prob
2025-06-02,592.71,0.37894
2025-06-03,596.09,0.368794
2025-06-04,595.93,0.343483
2025-06-05,593.05,0.365551
2025-06-06,599.14,0.362879
2025-06-09,599.68,0.333833
2025-06-10,603.08,0.339109
2025-06-11,601.36,0.345506
2025-06-12,603.75,0.330886
2025-06-13,597.0,0.349602
2025-06-16,602.68,0.369304
2025-06-17,597.53,0.380737
2025-06-18,597.44,0.449656
2025-06-20,594.28,0.430535
2025-06-23,600.15,0.399326
2025-06-24,606.78,0.38135
2025-06-25,607.12,0.367272
2025-06-26,611.87,0.353556
2025-06-27,614.91,0.342843
2025-06-30,617.85,0.329421
2025-07-01,617.65,0.332921
2025-07-02,620.45,0.329781
2025-07-03,625.34,0.317922
2025-07-07,620.68,0.309671
2025-07-08,620.34,0.349417
2025-07-09,624.06,0.344643
2025-07-10,625.82,0.327481
2025-07-11,623.62,0.331998
2025-07-14,624.81,0.314626
2025-07-15,622.14,0.361434
2025-07-16,624.22,0.369835
2025-07-17,628.04,0.356538
2025-07-18,627.58,0.348132
2025-07-21,628.77,0.336155
2025-07-22,628.86,0.336542
2025-07-23,634.21,0.332343
2025-07-24,634.42,0.316219
2025-07-25,637.1,0.309975
2025-07-28,636.94,0.299844
2025-07-29,635.26,0.304477
2025-07-30,634.46,0.354567
2025-07-31,632.08,0.353775
2025-08-01,621.72,0.246969
2025-08-04,631.17,0.413408
2025-08-05,627.97,0.442488
2025-08-06,632.78,0.39317
2025-08-07,632.25,0.39223
2025-08-08,637.18,0.389531
2025-08-11,635.92,0.331323
2025-08-12,642.69,0.37422
2025-08-13,644.89,0.347935
2025-08-14,644.95,0.337963
2025-08-15,643.44,0.35971
2025-08-18,643.3,0.340755
2025-08-19,639.81,0.367382
2025-08-20,638.11,0.418547
2025-08-21,635.55,0.387553
2025-08-22,645.31,0.378536
2025-08-25,642.47,0.339144
2025-08-26,645.16,0.370079
2025-08-27,646.63,0.349287
2025-08-28,648.92,0.379545
2025-08-29,645.05,0.362462
2025-09-02,640.27,0.362161
2025-09-03,643.74,0.399115
2025-09-04,649.12,0.378111
2025-09-05,647.24,0.400984
2025-09-08,648.83,0.372956
2025-09-09,650.33,0.37085
2025-09-10,652.21,0.355237
2025-09-11,657.63,0.363045
2025-09-12,657.41,0.353299
2025-09-15,660.91,0.306977
2025-09-16,660.0,0.316094
2025-09-17,659.18,0.382706
2025-09-18,662.26,0.358172
2025-09-19,663.7,0.363769
2025-09-22,666.84,0.314814
2025-09-23,663.21,0.347134
2025-09-24,661.1,0.369791
2025-09-25,658.05,0.41708
2025-09-26,661.82,0.387057
2025-09-29,663.68,0.342689
2025-09-30,666.18,0.356954
2025-10-01,668.45,0.354884
2025-10-02,669.22,0.332642
2025-10-03,669.21,0.344645
2025-10-06,671.61,0.341122
2025-10-07,669.12,0.326066
2025-10-08,673.11,0.353547
2025-10-09,671.16,0.346122
2025-10-10,653.02,0.167378
2025-10-13,663.04,0.441789
2025-10-14,662.23,0.40479
2025-10-15,665.17,0.440399
2025-10-16,660.64,0.273173
2025-10-17,664.39,0.399221
2025-10-20,671.3,0.391185
2025-10-21,671.29,0.384727
2025-10-22,667.8,0.397924
2025-10-23,671.76,0.405183
2025-10-24,677.25,0.385236
2025-10-27,685.24,0.354779
2025-10-28,687.06,0.336535
2025-10-29,687.39,0.347279
2025-10-30,679.83,0.39497
2025-10-31,682.06,0.382975
2025-11-03,683.34,0.367187
