date,close,prob
2025-06-02,592.71,0.208858
2025-06-03,596.09,0.18011
2025-06-04,595.93,0.192372
2025-06-05,593.05,0.248801
2025-06-06,599.14,0.17978
2025-06-09,599.68,0.192426
2025-06-10,603.08,0.180339
2025-06-11,601.36,0.221562
2025-06-12,603.75,0.214054
2025-06-13,597.0,0.326154
2025-06-16,602.68,0.252863
2025-06-17,597.53,0.320314
2025-06-18,597.44,0.359354
2025-06-20,594.28,0.373915
2025-06-23,600.15,0.327939
2025-06-24,606.78,0.226492
2025-06-25,607.12,0.221739
2025-06-26,611.87,0.194023
2025-06-27,614.91,0.181112
2025-06-30,617.85,0.175287
2025-07-01,617.65,0.190599
2025-07-02,620.45,0.179052
2025-07-03,625.34,0.155366
2025-07-07,620.68,0.231145
2025-07-08,620.34,0.246268
2025-07-09,624.06,0.206637
2025-07-10,625.82,0.199852
2025-07-11,623.62,0.245179
2025-07-14,624.81,0.245415
2025-07-15,622.14,0.300063
2025-07-16,624.22,0.27811
2025-07-17,628.04,0.239658
2025-07-18,627.58,0.255157
2025-07-21,628.77,0.250917
2025-07-22,628.86,0.258316
2025-07-23,634.21,0.211941
2025-07-24,634.42,0.220866
2025-07-25,637.1,0.205576
2025-07-28,636.94,0.218938
2025-07-29,635.26,0.263824
2025-07-30,634.46,0.28832
2025-07-31,632.08,0.36628
2025-08-01,621.72,0.294084
2025-08-04,631.17,0.385197
2025-08-05,627.97,0.395902
2025-08-06,632.78,0.369762
2025-08-07,632.25,0.385004
2025-08-08,637.18,0.260954
2025-08-11,635.92,0.307649
2025-08-12,642.69,0.217281
2025-08-13,644.89,0.204669
2025-08-14,644.95,0.222043
2025-08-15,643.44,0.260864
2025-08-18,643.3,0.275475
2025-08-19,639.81,0.35114
2025-08-20,638.11,0.394495
2025-08-21,635.55,0.416329
2025-08-22,645.31,0.264068
2025-08-25,642.47,0.326203
2025-08-26,645.16,0.284074
2025-08-27,646.63,0.275908
2025-08-28,648.92,0.256929
2025-08-29,645.05,0.3333
2025-09-02,640.27,0.369594
2025-09-03,643.74,0.375149
2025-09-04,649.12,0.278509
2025-09-05,647.24,0.322395
2025-09-08,648.83,0.295295
2025-09-09,650.33,0.284582
2025-09-10,652.21,0.270413
2025-09-11,657.63,0.22441
2025-09-12,657.41,0.235055
2025-09-15,660.91,0.217682
2025-09-16,660.0,0.245523
2025-09-17,659.18,0.265143
2025-09-18,662.26,0.234717
2025-09-19,663.7,0.230457
2025-09-22,666.84,0.216678
2025-09-23,663.21,0.283088
2025-09-24,661.1,0.329057
2025-09-25,658.05,0.359242
2025-09-26,661.82,0.325557
2025-09-29,663.68,0.30736
2025-09-30,666.18,0.27589
2025-10-01,668.45,0.256694
2025-10-02,669.22,0.258439
2025-10-03,669.21,0.269738
2025-10-06,671.61,0.250092
2025-10-07,669.12,0.307895
2025-10-08,673.11,0.252113
2025-10-09,671.16,0.300785
2025-10-10,653.02,0.239235
2025-10-13,663.04,0.353697
2025-10-14,662.23,0.310408
2025-10-15,665.17,0.32791
2025-10-16,660.64,0.237383
2025-10-17,664.39,0.35139
2025-10-20,671.3,0.300198
2025-10-21,671.29,0.29713
2025-10-22,667.8,0.379111
2025-10-23,671.76,0.286883
2025-10-24,677.25,0.219695
2025-10-27,685.24,0.177472
2025-10-28,687.06,0.18366
2025-10-29,687.39,0.194566
2025-10-30,679.83,0.302897
2025-10-31,682.06,0.286376
2025-11-03,683.34,0.278448
2025-11-04,675.24,0.374647
2025-11-05,677.58,0.384349
2025-11-06,670.31,0.369937
2025-11-07,670.97,0.382561
2025-11-10,681.44,0.325464
2025-11-11,683.0,0.296134
2025-11-12,683.38,0.299164
2025-11-13,672.04,0.343987
2025-11-14,671.93,0.34814
2025-11-17,665.67,0.279209
2025-11-18,660.08,0.236767
2025-11-19,662.63,0.273794
2025-11-20,652.53,0.228666
2025-11-21,659.03,0.308021
2025-11-24,668.73,0.402978
2025-11-25,675.02,0.347008
2025-11-26,679.68,0.256385
2025-11-28,683.39,0.186982
2025-12-01,680.27,0.242252
2025-12-02,681.53,0.227421
2025-12-03,683.89,0.204471
2025-12-04,684.39,0.2099
2025-12-05,685.69,0.206775
2025-12-08,683.63,0.26468
2025-12-09,683.04,0.290321
2025-12-10,687.57,0.236197
2025-12-11,689.17,0.218345
2025-12-12,681.76,0.345453
2025-12-15,680.73,0.384677
2025-12-16,678.87,0.411747
2025-12-17,671.4,0.395455
2025-12-18,676.47,0.425707
2025-12-19,680.59,0.351169
2025-12-22,684.83,0.29457
2025-12-23,687.96,0.254232
2025-12-24,690.38,0.22404
2025-12-26,690.31,0.236193
2025-12-29,687.85,0.297358
2025-12-30,687.01,0.326449
2025-12-31,681.92,0.421178
2026-01-02,683.17,0.413853
2026-01-05,687.72,0.342233
2026-01-06,691.81,0.281763
2026-01-07,689.58,0.326685
2026-01-08,689.51,0.333138
2026-01-09,694.07,0.268744
2026-01-12,695.16,0.268877
2026-01-13,693.77,0.303194
2026-01-14,690.36,0.364429
2026-01-15,692.24,0.342829
2026-01-16,691.66,0.359052
2026-01-20,677.58,0.25011
2026-01-21,685.4,0.379312
2026-01-22,688.98,0.394371
2026-01-23,689.23,0.39075
2026-01-26,692.73,0.33734
2026-01-27,695.49,0.291996
2026-01-28,695.42,0.297077
2026-01-29,694.04,0.334671
2026-01-30,691.97,0.354799
2026-02-02,695.41,0.301609
2026-02-03,689.53,0.333464
2026-02-04,686.19,0.329374
2026-02-05,677.62,0.239091
2026-02-06,690.62,0.370701
2026-02-09,693.95,0.324683
2026-02-10,692.12,0.354098
2026-02-11,691.96,0.357585
2026-02-12,681.27,0.293592
2026-02-13,681.75,0.307032
2026-02-17,682.85,0.324471
2026-02-18,686.29,0.364344
2026-02-19,684.48,0.343414
2026-02-20,689.43,0.389335
2026-02-23,682.39,0.329233
2026-02-24,687.35,0.39198
2026-02-25,693.15,0.30578
2026-02-26,689.3,0.390979
2026-02-27,685.99,0.374464
2026-03-02,686.38,0.343898
2026-03-03,680.33,0.284148
2026-03-04,685.13,0.370093
2026-03-05,681.31,0.297906
2026-03-06,672.38,0.198444
2026-03-09,678.27,0.288984
2026-03-10,677.18,0.305393
2026-03-11,676.33,0.323386
2026-03-12,666.06,0.260868
2026-03-13,662.29,0.269224
2026-03-16,669.03,0.34244
2026-03-17,670.79,0.363152
2026-03-18,661.43,0.308827
2026-03-19,659.8,0.322015
2026-03-20,648.57,0.282734
2026-03-23,655.38,0.314345
2026-03-24,653.18,0.305246
2026-03-25,656.82,0.33117
2026-03-26,645.09,0.29986
2026-03-27,634.09,0.262586
2026-03-30,631.97,0.276026
2026-03-31,650.34,0.376467
2026-04-01,655.24,0.39034
2026-04-02,655.83,0.391031
2026-04-06,658.93,0.368281
2026-04-07,659.22,0.381714
2026-04-08,676.01,0.148751
