date,close,log_ret,ema5_slope,ema20_slope,ema50_slope,pos_ema5,pos_ema20,pos_ema50,golden_cross,rv,atr_pct,atr,obv_chg,vol_chg,obv_momentum,ad_ratio,market_breadth,vix_proxy,momentum,vol_percentile
2020-01-02,296.8882141113281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.5
2020-01-03,294.6400451660156,-0.007601259060093568,0.0,0.0,0.0,-0.0050610699207990955,-0.006856202135941225,-0.007277645178017418,0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.5
2020-01-06,295.76409912109375,0.003807748722918447,0.0,0.0,0.0,-0.0008439363185790886,-0.0027760334639134973,-0.003353982616813605,0,0.0,0.0,0.0,0.0,0.0,-1,0.3333333333333333,0.0,0.0,0.0,0.5
2020-01-07,294.93243408203125,-0.0028158810551515145,0.0,0.0,0.0,-0.002438625437708154,-0.005051389549612767,-0.00591646981959404,0,0.0,0.0,0.0,0.0,0.0,-1,0.25,0.0,0.0,0.0,0.5
2020-01-08,296.50433349609375,0.005315540735342239,0.0,0.0,0.0,0.0019168748486764822,0.00022743485156417556,-0.0005940764754113929,0,0.0,0.0,0.0,0.0,0.0,-1,0.4,0.0,0.0,0.0,0.5
2020-01-09,298.51483154296875,0.006757784677263956,0.012376078701114766,0.0,0.0,0.005790216405182697,0.006337830563139543,0.005938671920763943,0,0.0,0.0,0.0,0.0,0.0,-1,0.6,0.0,0.0,0.005463934020279559,0.5
2020-01-10,297.6558837890625,-0.002881551629953627,0.012376078701114766,0.0,0.0,0.001928905644713558,0.0031133418496259698,0.0029244512894243,0,0.0,0.0,0.0,0.0,0.0,-1,0.6,0.0,0.0,0.0101836414504195,0.5
2020-01-13,299.702880859375,0.006853519873997627,0.012376078701114766,0.0,0.0,0.005862253033375438,0.009049676696934213,0.009432827093010687,1,0.0,0.0,0.0,0.0,0.0,-1,0.6,0.0,0.0,0.01322941260149868,0.5
2020-01-14,299.2459716796875,-0.0015257037938409823,0.012376078701114766,0.0,0.0,0.002881692128579022,0.0067911157915892416,0.0075819938112128985,1,0.0,0.0,0.0,0.0,0.0,-1,0.6,0.0,0.0,0.014519589862809212,0.5
2020-01-15,299.92230224609375,0.00225756563918722,0.012376078701114766,0.0,0.0,0.0034263340082128133,0.008196019385254636,0.009468947716138695,1,0.0,0.0,0.0,0.0,0.0,-1,0.6,0.0,0.0,0.011461614766654193,0.5
2020-01-16,302.41705322265625,0.0082835870485658,0.012376078701114766,0.0,0.0,0.007817870598334475,0.014979272899454216,0.017153067779412532,1,0.0,0.0,0.0,0.0,0.0,-1,0.6,0.0,0.0,0.012987417137956037,0.5
2020-01-17,303.3583679199219,0.0031078033939477834,0.012376078701114766,0.0,0.0,0.007276656736068961,0.01638275511645346,0.019506725871968344,1,0.0,0.0,0.0,0.0,0.0,-1,0.8,0.0,0.0,0.018976772161857447,0.5
2020-01-21,302.7643127441406,-0.00196018193986891,0.012376078701114766,0.0,0.0,0.003529855775938307,0.01300388101247524,0.01681204306800326,1,0.0,0.0,0.0,0.0,0.0,-1,0.6,0.0,0.0,0.01016307034799091,0.5
2020-01-22,302.80096435546875,0.00012104925020839374,0.012376078701114766,0.0,0.0,0.0024312673158447874,0.011861539182501412,0.016260213137448833,1,0.0,0.08905945716922191,26.967289515904017,0.0,0.0,-1,0.8,0.0,0.0,0.011809823392040286,0.5
2020-01-23,303.14813232421875,0.001145865250521183,0.012376078701114766,0.0,0.0,0.002384205604395358,0.011766909711795696,0.01673059686175556,1,0.0,0.09542339066336139,28.927422659737722,0.0,0.0,-1,0.8,0.0,0.0,0.01069812300337425,0.5
2020-01-24,300.4523010253906,-0.008932562254856613,0.012376078701114766,0.0,0.0,-0.004362683837917439,0.002505062578282539,0.007385272342289483,1,0.0,0.09662852086854896,29.032261439732142,0.0,0.0,-1,0.6,0.0,0.0,-0.006518026300048163,0.5
2020-01-27,295.63616943359375,-0.0161594683756201,0.012376078701114766,0.0,0.0,-0.013640640893851988,-0.012288696749142975,-0.008421973470010191,1,0.0,0.10038148646628675,29.676398141043528,0.0,0.0,-1,0.4,0.0,0.0,-0.025785298069616047,0.5
2020-01-28,298.73419189453125,0.010424646713440566,0.012376078701114766,0.0,0.0,-0.0022053697328052887,-0.0017540233171908168,0.0018915843246965363,1,0.0,0.0991411297087705,29.616845267159597,0.0,0.0,-1,0.6,0.0,0.0,-0.01340046941630657,0.5
2020-01-29,298.48748779296875,-0.0008261726725100615,0.012376078701114766,0.0,0.0,-0.002021628063094256,-0.0023334167725908737,0.0010224150715733788,0,0.0,0.09961192194629002,29.73291233607701,0.0,0.0,-1,0.4,0.0,0.0,-0.014347691339025026,0.5
2020-01-30,299.4561462402344,0.0032399685839763492,0.012376078701114766,0.0,0.0,0.0008110271563427894,0.000818045779377171,0.004102780353086027,1,0.10022323810267818,0.09932744053725351,29.744212559291295,0.0,0.0,-1,0.4,0.0013537479340854609,0.10022323810267818,-0.01225358800556986,1.0
